	id	filename	md5	size	state
4	93f44ca6-897f-4941-abeb-ee24faad08c2	TCGA-PL-A8LY-01A-01-DX1.32047D5E-8A42-480A-B2B8-A56B47B949FD.svs	1c9464f4ac0eeba3947a33232ffd83cd	161766610	live
15	09782235-4340-4881-8f03-e6cb6ab890a3	TCGA-PL-A8LV-01A-02-DX2.346FF42B-2363-4B37-8884-12D5F841842C.svs	f78649dbc440487e3d4cfbee0bafbe73	244034918	live
17	b2c55fee-5ac0-404b-8a8e-f6f9dfe94579	TCGA-PL-A8LX-01A-01-DX1.9646D69F-A764-4246-9243-67A63006DE96.svs	0656ec818f44d1312142428591754487	181293480	live
21	42b96e34-1b38-460d-8919-ebb848840b58	TCGA-PL-A8LZ-01A-03-DX3.E5D16DBF-CABD-4C96-A794-5F27BC305055.svs	d095d75da1f4b90aca760e4a9e797787	347265102	live
109	f0234e03-cc48-4f2c-b993-925aaa207fce	TCGA-LL-A5YO-01Z-00-DX1.B5B6DFDB-1020-41FF-AA50-9C633E17DE5F.svs	431fe282c554ceef7979e6ef7ff7d297	1208256171	live
110	3d41f217-b0d6-440c-9e3a-454266415798	TCGA-LL-A5YM-01Z-00-DX1.2B8904A9-6A45-4FFD-AF15-EB81773E5B79.svs	17a335bdd895370329eb93fc074814f9	1417183559	live
120	71ec0907-a8d4-45aa-bf69-29beae93c7aa	TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499.svs	6af2c68b260dd60d97d86fb39fa9fdb4	655668792	live
122	6288299f-b820-4f13-9a26-ef4da6153d54	TCGA-EW-A1PG-01Z-00-DX1.A31B2048-D04D-467C-A9E4-6A63942A58C6.svs	9f8596ba92dfc9aaefc1e16a30b13b6a	1202242871	live
124	8197dbcb-3b64-4ffe-a8d4-2d953a89ff6c	TCGA-E2-A1IO-01Z-00-DX1.C812D02F-3B40-496B-9EF5-7F68ADE64962.svs	865293c1cadebd7f6ecf874d18f80787	877165739	live
127	22f66cc4-dcbd-4c2d-a600-beac8051da60	TCGA-E2-A1L7-01Z-00-DX1.BE796CD2-2E81-44E8-8CA2-85B4D2A31B64.svs	7a32cc284a5f7ff03c5e2dc20d9f99fa	354195597	live
129	85f17f65-450d-4410-97d1-2dea65e2d164	TCGA-EW-A1OV-01Z-00-DX1.93698123-5B34-4163-848B-2D75A5F7B001.svs	c95a33c2e2314f133fd5630bd23714de	2042295257	live
148	5fb062f5-d8a5-45e4-bd98-26195cec517e	TCGA-OL-A66J-01Z-00-DX1.661F7F70-E4D4-4875-B8C4-556F7927F3BA.svs	dadc1b10d4702ff0a1d624ac147f68d7	2249782650	live
261	2b2e12a0-6df2-489c-92bf-57378c79b431	TCGA-OL-A5RU-01Z-00-DX1.A48CAF2D-9310-4611-B27D-400F3A324607.svs	2332f403e6bbff1a8eab846244b75561	56349850	live
265	9629853c-e6c9-4147-aa14-0fae461f88c2	TCGA-EW-A1P0-01Z-00-DX1.6C75EEBD-CE05-4DE2-8C43-8B6435F1379F.svs	919d85ad111ae5884b256959fd8056d6	1361731973	live
267	c506aa9c-e50e-48dd-b07a-4a37d2f9f42d	TCGA-E2-A1IF-01Z-00-DX1.51F5B0AC-E4D6-439D-8168-34934471FA06.svs	9f936d1a31b1e7bb3a822f8aa3e1183d	1406211463	live
268	dada755d-3338-458b-a027-1b096be15853	TCGA-E9-A1N6-01Z-00-DX1.C0E8FFDC-2614-4DBF-B51E-4646A3919911.svs	e38f0d9ebf92f0f77ae458fee8b43622	655339379	live
270	31330595-9785-4fea-a465-f006f32996cf	TCGA-EW-A1OW-01Z-00-DX1.97888686-EBB6-4B13-AB5D-452F475E865B.svs	b0436797d2627167df4d3bb02547254b	1442343795	live
272	4b2d7dec-1d13-4d7c-af2b-793be87cafe2	TCGA-EW-A1OX-01Z-00-DX1.9B19CBEE-E592-4A4D-839F-CECDCA20F4B1.svs	d7dc62f92396e4000614a43ed379726c	2410779591	live
274	ef250cc7-ae47-443a-8088-8edb192468f9	TCGA-E2-A1LB-01Z-00-DX1.B4AFDB08-BA09-4F6E-806E-4054B790AB8E.svs	edc4d5cc907d8bd2215ea04e8003f604	988511185	live
286	9b964a76-a56b-405f-b55b-44176b92e20e	TCGA-E2-A576-01Z-00-DX1.2E045763-7EB0-48F5-8C47-E4B84287D739.svs	635742d662637ebd31f1989f5beb35d9	742080659	live
326	38f11d2e-18da-4462-be1c-ec7d824f50f0	TCGA-AC-A62V-01Z-00-DX1.2D8994FD-58B8-43C1-B99D-AA964E7DFD60.svs	136c76889b726ce11b7df74afb3dcecd	57528662	live
477	13257960-060c-4b8d-a8d4-8bf494c09ef5	TCGA-E2-A56Z-01Z-00-DX1.EC28E279-B869-4485-A19F-C732D4CCD374.svs	c666d77327f7c2cc5464f673f676b894	1127539367	live
538	28fa4391-acac-4a3f-8c4d-3d2697f1bc75	TCGA-AC-A5XU-01Z-00-DX1.1AEEFAAF-0906-4086-8022-13B689FAB9F5.svs	8ce9f626a762a1cbe1cb6802b159850d	340096914	live
552	dab83239-15d9-45a1-9340-a4518190c259	TCGA-AR-A5QQ-01Z-00-DX1.4185D6D2-498E-4E71-8CB3-EDB4739C6229.svs	cfbe2622227aea1cacb5b1d26722510a	1727494565	live
553	3e1c93a5-db24-4052-b92e-624219a23f5a	TCGA-AR-A5QP-01Z-00-DX1.256FDB13-1F81-42DA-AF6E-8A94835550C1.svs	f94e6ee7c0f6a942c4f571d95be69c5e	1227414145	live
554	f4c0402e-eed1-4e43-aef8-da486c5f7915	TCGA-A7-A5ZV-01Z-00-DX1.21F2EA4A-4F31-43D6-A036-E20E326AF37E.svs	a9d1dfbf1d3716f0094aea0db4862a99	630509479	live
637	e084de55-98be-4181-b346-6b2debaeae26	TCGA-OL-A5RV-01Z-00-DX1.920AC243-1DAC-4854-BEB6-1CBCC950F26B.svs	cc89795be0666056dcdfc701224ca939	71912702	live
638	402414b2-3241-4a74-9176-c70a3cc18eb8	TCGA-E2-A1IJ-01Z-00-DX1.00093877-7B01-42D3-857C-987BC1F604A3.svs	bc678758b0f09ae1737e53d1b9dc58c0	901198787	live
639	b69bd9fe-51a5-4444-9ab9-aa7a1e000a47	TCGA-EW-A1PF-01Z-00-DX1.9420D058-65CE-4DF8-815F-EB407003096E.svs	4cef38b6cdb7f889d69886342f61b833	1183467829	live
640	c6fae920-c6bd-482f-8f73-7333e24a3a82	TCGA-EW-A1P8-01Z-00-DX1.E9852193-8CDD-49EF-B49B-DA6931198F0D.svs	b3fd155d5f9fa415803676ace1b661ed	2166971957	live
706	76acf1a3-17b7-4555-8dfe-41aed41c2810	TCGA-E2-A572-01Z-00-DX1.7DDF1C25-58E2-4AF9-B831-598222A4E85D.svs	bae8c28d1d0f0e7f78ad50e7ce317d98	1483548427	live
707	d59793ee-d6ee-4f76-91f8-445598cd11f1	TCGA-E9-A6HE-01Z-00-DX1.97514DBA-9BC0-4554-9A43-99C48C6B953A.svs	d5d25139e7b9ccc532beb031d7939a41	616720619	live
708	137bcb75-b34f-48b4-960a-98b5874e76c2	TCGA-LD-A66U-01Z-00-DX1.AEC25C62-0519-47ED-A85B-2A964BA2BA87.svs	34449b04f64066db20fe8d90821a720d	1339308947	live
777	82ed61aa-1c8f-43bf-8690-a6f1b76ba34f	TCGA-D8-A3Z5-01Z-00-DX2.BB83C7D4-F795-47E7-9A5C-7DBF0EB7FDAA.svs	220ee477500655e20d04c5b6ebe601c4	1410229471	live
778	b9ceb365-8172-4706-8365-117dde10f2b2	TCGA-EW-A424-01Z-00-DX1.662894F0-31FE-494B-9A9E-7C369AE23D27.svs	344033fc307bf9a69b3f6735d3becc67	1936600978	live
779	78a181a9-f72e-43bb-ac37-143d151a2b65	TCGA-EW-A423-01Z-00-DX2.5EF1CF39-600A-4ED3-A5A2-AF4435A5F8B5.svs	1218c5f71124aa7091d62d71299d5945	2199647358	live
806	4d85961f-6d05-4dc2-8499-278ff30906ee	TCGA-LL-A5YN-01Z-00-DX1.F221939B-3680-4B95-93A9-BE8599550E87.svs	b3dfd5aad57a2c36d098f2704754be2c	1318741729	live
807	ae88ce60-9181-4c55-8008-64dfe7fb7ca7	TCGA-LL-A5YP-01Z-00-DX1.ADA978DF-6625-4C4D-AE0C-F589B2BA4897.svs	712b026e311eae13984fb90cb991ccf5	1144621801	live
