	id	filename	md5	size	state
489	dcd9384e-332a-43cb-b98a-aa87efe543d0	TCGA-W6-AA0T-01Z-00-DX1.7B6C4BED-EFFE-46A3-9C37-1267E05C4DE8.svs	42f5b6b17883e3485df5b11761473e13	4886012293	live
1008	7633972e-778e-4918-8079-e95a97dbe0ea	TCGA-W5-AA2G-01Z-00-DX1.DA30CC19-6DDF-4A23-8FC6-D800155FAAC5.svs	a8d3557979adbced7dfc1666f6d0fe33	1248103020	live
1009	7b39721d-d747-488e-8278-239c3ca9aef1	TCGA-3X-AAVB-01Z-00-DX1.E3ACE310-E861-488D-A1BC-8BF59AE1778E.svs	4243f7deac67198691c180d6aaab7f5b	2253075679	live
1010	0d6d8d8f-302e-41a3-960d-028381f1c4dd	TCGA-WD-A7RX-01Z-00-DX1.9489CBFD-8D05-46C9-B6A3-55684E29862A.svs	a697b8473ed70f5d6155f90fd1b12d47	2101372398	live
1011	9de217b7-6836-41b3-9b6b-b6caa9c2e217	TCGA-4G-AAZT-01Z-00-DX1.2E91D9BC-6C6A-4357-83F8-E27E28C958D0.svs	baa07b389bbd810e7a744053527bd3f5	660886963	live
1012	ae80bfe1-6643-45d7-92fd-368b676c52ee	TCGA-3X-AAV9-01Z-00-DX1.308BB261-7A52-434F-94E6-F07379F43A1B.svs	bde9a3e195bd36c9c35413fedde83965	1847967389	live
1013	f3726112-31af-4f3d-8121-4a2701e4348c	TCGA-W6-AA0S-01Z-00-DX1.B8B9641D-CF45-42D1-A08C-898DCE0BEE09.svs	513fb10f9571b2e818c66e0354c7a56a	3681051671	live
1014	5520ef95-97e7-4d70-9eb8-bf9ba90c219c	TCGA-W5-AA36-01Z-00-DX1.3BA86FC3-7B7F-462B-A220-D23F295A2E95.svs	3b0c21a9c197839f631c809c75bebf64	1541576206	live
1015	e1bdc342-8750-4f4d-8714-8801827a7261	TCGA-ZH-A8Y4-01Z-00-DX1.80DEF07F-1DDD-4998-82FC-C5CC68904D32.svs	2d3a2878fa6dffce4c412d8e4ac01236	1870258210	live
4896	b4552b11-1831-4bf2-a266-866897618c5c	TCGA-ZH-A8Y3-01Z-00-DX1.D4110867-EC54-4455-A335-3CB51AF67908.svs	fcc88ec36b92e14081272b5930cfd345	2253106492	live
5106	6d9d156f-c314-494f-bbf3-0ffc2672ddaa	TCGA-ZD-A8I3-01Z-00-DX1.ECD6891B-38C1-4A52-97C1-ABAD5BB43D6A.svs	457045438af6e579cb2b2589687a77f7	747598463	live
5107	723344ad-d31b-463d-be69-117fc946aa49	TCGA-W5-AA2U-01Z-00-DX1.156F2419-5D8B-410C-B1CA-20F60602A5BA.svs	f52e55876e77c81e3a00664d98002a78	1858535947	live
5108	30ba3693-75d2-4c6e-ac28-6c4ac3a8496e	TCGA-W5-AA31-01Z-00-DX1.59C6CCA7-943F-4058-81C0-2123C6F96B0A.svs	4617dd68547798c67db9a789a6427c90	1640449134	live
5109	cb611e38-f501-479a-9a99-18a7eef651f1	TCGA-4G-AAZO-01Z-00-DX1.B3E01FF4-2D88-49D5-8D09-582B68B2EA12.svs	ea150901c1d5cc495f4cc78492cc5a45	521278197	live
5110	4cf9e5c7-663d-4418-ab7c-10c127de931d	TCGA-ZH-A8Y1-01Z-00-DX1.2FE51BA7-9B4D-48B3-AB81-9C744DBA13A4.svs	e7cd88cdd33e4d08111f1c65ae0e308f	2131924850	live
6513	5abc0db4-c2e5-429d-9a01-27ae82e4639b	TCGA-ZH-A8Y6-01Z-00-DX1.9FDB5467-91A4-43D4-BB49-AA2017E9DBA1.svs	a1bb4ea78580b593f1086670f5705565	1153316450	live
6514	baf4e24b-0ccd-41fd-98c3-9a406a2c9cb9	TCGA-3X-AAVE-01Z-00-DX1.26FC1984-B066-4BE4-9A5A-DFEC74D4C582.svs	f3d657738a147b66ea78f49a0473b6de	2287867995	live
6515	2287b0b1-5150-42ab-a7dd-f0b1b9bb75f9	TCGA-W5-AA2X-01Z-00-DX1.B584C604-4CB3-43E4-9845-C94B199B64B3.svs	60ea3e75142b0fd6ba8ba369e4196d64	1556204538	live
6516	4a02d0ba-d90b-4640-b022-361c29c2f7f0	TCGA-W5-AA2R-01Z-00-DX1.B24FCBB2-795C-4545-9B6F-AF5D2AC3FB4C.svs	07314467f6862ff84e8e683722f691a4	1132086424	live
6517	bba17e6b-a9d3-4fe3-8790-5e74f7ee2b48	TCGA-W5-AA2Q-01Z-00-DX1.6548C6C8-A24B-426B-A01C-F6E067CC8381.svs	04f27c6a833245c47f77d37fda24ac4b	2686149224	live
6518	9c8b360c-360f-49b6-ac1a-5ba368de10d6	TCGA-3X-AAVC-01Z-00-DX1.4E5A22D6-108E-48E1-B7F3-A99B52A0DB18.svs	8ffda36523cbb807ecef77ecfe918883	1786338121	live
6519	10bc368f-bcdd-40c6-acff-02405f6bb603	TCGA-W5-AA2I-01Z-00-DX1.7A0ED531-4BC7-4CF8-AD01-C57D9070B2EB.svs	63bdab772c51c325c1a20f651918b8fc	1608384010	live
6520	b9b5783d-f343-4797-9db5-3801199d3f2c	TCGA-W5-AA2W-01Z-00-DX1.8EF8CC01-E6E2-4197-BDE7-6184D327A161.svs	f1a4f9afe203ed35e39b6b6a8ff9167b	2579540637	live
7552	10c93838-32bf-4230-a5d9-32729fce30da	TCGA-W5-AA39-01Z-00-DX1.319835AC-855E-4D24-8DDF-DDE5A72DAE63.svs	cef1f01f293404eba0847dee344e8c00	1480754868	live
7553	6e12584d-1ca5-41e9-87f9-69873d2539a1	TCGA-ZU-A8S4-01Z-00-DX1.90E3AC43-66E2-41E6-8253-487B95B4D7C9.svs	b0d67bffa3c7558a00ab7fb5f0ad4bd8	1637599061	live
7554	b05ecfe8-ef04-4704-9a33-7fa472bd2abf	TCGA-W5-AA38-01Z-00-DX1.84893B97-DE21-449D-83C4-9233D461A11F.svs	ba0bfa54aaab32a2b5b2d76d617ac09a	1917665198	live
7555	aa80abac-4d10-4386-a8ba-fca5ccfe835d	TCGA-ZH-A8Y8-01Z-00-DX1.174309BD-9629-4567-9646-A18CD9D54FDE.svs	a5a919d5fffad72e5677005256abeb1b	2304587262	live
7556	5205ff58-1ca0-438b-a0b3-348f55dce0e1	TCGA-W5-AA2Z-01Z-00-DX1.49AB7E33-EE0C-42DE-9EDE-91E01290BE45.svs	76d480652db224dec97c3245e09717ea	2388080802	live
7557	d31e2562-5199-41d4-a799-4d5ab4b36156	TCGA-W5-AA33-01Z-00-DX1.4A6B21B2-0EE4-4433-B67C-3C97E29A335F.svs	f179b7517fb18a04415e3413e53504ec	3570938382	live
7558	679bb76e-bffe-4669-a2df-3ecb84caf81f	TCGA-W5-AA2H-01Z-00-DX1.55FD7D7E-F9AE-4102-A85A-9D45202DFA1C.svs	b58e31970df820db6b66a2a93c87c6bf	1451019859	live
7559	1717ab42-985e-4601-8106-d90646324b2d	TCGA-W5-AA30-01Z-00-DX1.1B63C128-3C86-4ED2-9A26-15BB5E47D66A.svs	c9558ed693fd8836c7487307ab07a46e	2464012974	live
8826	fc7934b2-e7ae-47e5-a102-b4170bba43bc	TCGA-ZH-A8Y5-01Z-00-DX1.A7172CB3-474B-455E-8F62-DDE31CAA6783.svs	7c89bac0451c1a196e43ef270357d42e	2349129544	live
8827	0dccea3c-d76a-4a00-9a22-1000dfd1f48d	TCGA-W5-AA2T-01Z-00-DX1.0DC8411E-9AAA-4DA0-AF3D-E1E2A59AF229.svs	46388942b5f18bc9a5db136abb1d78b5	2044246342	live
8828	73b016f8-d32d-499e-a331-08bd20b88fe1	TCGA-W5-AA2O-01Z-00-DX1.2A089837-4C85-492B-8EB3-F7C51B8ADF55.svs	510986633c87625e8df237d42809d676	2877380958	live
8829	90ea4d0a-851b-4b49-b9da-368a5c323fb5	TCGA-ZH-A8Y2-01Z-00-DX1.AF4DA602-F161-4461-9371-B2A3D9E745D0.svs	41493d3342c12f66045a938b68055df4	1734912114	live
8830	09074f6d-932b-43db-b086-601533ba40a0	TCGA-3X-AAVA-01Z-00-DX1.A04F5D5B-5D2B-478E-90BE-572DC5E3FAE6.svs	f936ddde911411c6613bbb09b49f7d3c	1749548453	live
8831	7379b796-8ec2-4a2b-b1ba-8a76ce0d5e61	TCGA-W5-AA34-01Z-00-DX1.FC4DD81F-FF94-4110-9A2C-9C885E8CACAE.svs	ba19f484b75d7f76fcf4b65db3ca5100	1692435578	live
8832	def2a950-228a-4a81-aec6-acb200f34756	TCGA-YR-A95A-01Z-00-DX1.7197CB70-9FF4-4C82-9FF4-548F1969E40E.svs	61edac0ad7071ed60ac2a2046fc5d077	2131515993	live
11863	24770761-378b-440d-9c60-05864bd379e8	TCGA-ZH-A8Y7-01Z-00-DX1.781FF59A-8A68-4A27-AB42-560F4BBAA1CF.svs	f6db73be45ac0fe0514b1131c072e638	1639532620	live
