	id	filename	md5	size	state
1066	f431289a-9184-42e2-9ef1-525dea316977	TCGA-FM-8000-01Z-00-DX1.c8307f0d-6f7f-4f4c-bd71-4c4a3da528d4.svs	a1fd2d40f161f1d987d108253dc7a3fa	101026281	live
1067	f13c7592-9fa1-4b82-b631-da025ccdb479	TCGA-G8-6324-01Z-00-DX1.30727896-3e02-44c8-a7b2-745f70c441ed.svs	edb552993cdc4db8456a7838d4dee67f	711700673	live
1068	36958fae-abca-4c97-bbdf-071ecf143e70	TCGA-G8-6907-01Z-00-DX1.71ada905-9b5b-4757-8dfd-584a79d56ccc.svs	29d5049912ed307a372abb9d509da5de	642203197	live
1098	5b3cd70e-7256-4565-80df-d747e46d832e	TCGA-GS-A9TZ-01Z-00-DX1.75FFC0BE-5C16-4AFC-BC7D-42D047636DBC.svs	67444443411f5fbd2a305a817341229d	1389587015	live
1486	1682dfa4-572f-49f0-b3a5-bab57442b566	TCGA-FA-A7Q1-01Z-00-DX1.99220CAA-6160-48FA-AA65-94705EA46773.svs	0250743fb0d5d3ba2ad153bdc0ac88ee	174631217	live
1487	519a3047-2960-42b7-b162-5bb07e01bb96	TCGA-GS-A9TV-01Z-00-DX1.FD6E85B5-1F95-47DA-84CE-C7B888D29D26.svs	6b0163218561b9259d4056c632c035c4	475116067	live
1488	9997ba50-fa9a-4ef5-8a51-b7d5d78925ba	TCGA-VB-A8QN-01Z-00-DX1.7A114AF2-E4D0-4761-A22A-64D62F5C89CB.svs	52cbecc98d9c35d69126fff69c46d863	1751725209	live
1489	8ba5fb75-728a-4da3-9384-1f0bd4a2db39	TCGA-GS-A9TT-01Z-00-DX1.630224CC-8145-496E-8F9B-C6805C774FCB.svs	55a7c2de0a53b89da2ba1b455082cdb1	1451130351	live
1619	d3b5789f-17be-423a-b37f-603699cf282d	TCGA-FA-8693-01Z-00-DX1.7bef9346-e85d-44c2-aa85-1f5faca9f97e.svs	109fb715745d3d4b35648850e48d9caa	935538577	live
2302	2594e921-253e-4c68-ac64-fe41259c3b0c	TCGA-GS-A9TW-01Z-00-DX1.D38BD003-8DF1-4740-B83D-3426B00EF686.svs	31ea968b79cd35a568ea803d5dbc4a90	1370021319	live
2450	4cd95092-93d5-4fea-b147-5c31f9803669	TCGA-FA-A6HN-01Z-00-DX1.2406492D-4D38-436A-8896-A2A7F44F87AD.svs	e7de059916129ecce28af11c8cb514c2	313360179	live
2451	4ce3aa5d-e18c-496e-852c-a19229aa511a	TCGA-GR-A4D5-01Z-00-DX1.D80C72B3-C80D-47E4-AF4B-44AB5F1AD8C5.svs	95faec4f9465cfc961795294defa83f1	491714792	live
2748	fabe1c73-ec6c-4eab-bef8-fee875294331	TCGA-FA-A4BB-01Z-00-DX1.2BF28C5E-B2BE-4C0A-A369-BDE825EF32AD.svs	ed358de6b00c02bbaf22fc0fa3cd8768	1089784861	live
2749	24969364-e6d5-46a2-886a-edbd46035a67	TCGA-GR-A4D4-01Z-00-DX1.CE57E44B-E1BB-4269-9B81-5BFA55248883.svs	37d917c979428f9c69ebb99c2c550c79	258160154	live
2750	cb362e89-3d84-453c-8483-b4040850ea7d	TCGA-RQ-A6JB-01Z-00-DX1.13EB389B-B463-4722-A074-5E9002B327C1.svs	56c230a211637109b8408b1d794f6e77	1779726073	live
4240	79a1504f-1fd7-4fde-acfe-ca0c0c878fe1	TCGA-FA-A4XK-01Z-00-DX1.650FD75C-6486-4593-812A-B3CB2B5316C0.svs	1ed92e06fb7d5f1a1de5394dd61ef4ec	2183158605	live
4380	c2afc927-575f-4e23-8df7-24b75f754937	TCGA-GR-A4D6-01Z-00-DX1.5C79ED21-5689-45C5-8E08-2EF67056F7CA.svs	84a69092e9d0d8b097bb115479791b31	577999254	live
5151	8c3a56d9-6ccf-4be3-bec4-6260b9c72006	TCGA-FF-8047-01Z-00-DX1.75aa745c-bbe3-4869-a37b-c18ee50c14d5.svs	8399fc10a313c7f687a22378f865197d	291477431	live
5176	f57399ab-9461-4a6f-b91a-982fa3a04e11	TCGA-RQ-AAAT-01Z-00-DX1.E6B3D983-E4A3-4E5F-B571-376C18A36F45.svs	d10ac9c12048042078fb137c5227f0eb	517485219	live
6397	63646425-ee04-4d8e-98a5-bd926c9a0d38	TCGA-FA-A6HO-01Z-00-DX1.9E6256E7-5C4A-4D57-9810-8F52D3826BC7.svs	325b1d2660f56aef94b5bef453b80969	334895495	live
6398	a3ba6414-a432-40c6-9a0c-8877abbe7549	TCGA-RQ-A68N-01Z-00-DX1.5F93A566-8CDF-44E1-B402-45350674992B.svs	94fa1c1533f59ec1f0a20759060aa9b6	660737545	live
6557	8bf1d441-429f-4ecc-adb3-078b719be271	TCGA-G8-6909-01Z-00-DX1.f38a05fd-179e-40ae-9fa2-337e09235691.svs	b5187fd7baeddcf3204d2516fb031a1b	271454999	live
6558	4d011d94-b1a6-4f32-8058-4f66d0a1f5c7	TCGA-FF-8061-01Z-00-DX1.c48e8418-275d-403d-b645-71eac3fb5c2d.svs	68affb9f8c614a00e08f3f44d4eb69eb	950175587	live
6559	5a61e474-5c07-4bf9-8047-067379ca209c	TCGA-FF-8042-01Z-00-DX1.bf80d981-9209-4933-8f80-e9e689971999.svs	6a1664099e6381edba9ed1873d65f6db	531954549	live
6560	a54ae089-1d7a-482d-8d95-9f50916c2b67	TCGA-FF-8062-01Z-00-DX1.834a90d5-cf7b-471a-95f1-9a02477bed7e.svs	95801cd217d9d3cea1775c5153c8e6b0	113418289	live
6561	14519642-9ba5-4022-b515-158867f9d3d5	TCGA-FF-8041-01Z-00-DX1.b9ba3fca-9adc-43d2-8439-7231a5be67a9.svs	822247a83b3aefe45fd0facfdd8fe93c	220207211	live
6562	147c945f-f869-4906-bd3d-c285fc5d5a2f	TCGA-GR-7351-01Z-00-DX1.8e04901a-4f59-449e-a992-dc2966906035.svs	413e709241e0e98df690a312cfe01e6c	255136650	live
