	id	filename	md5	size	state
9	dd85d216-257b-40ed-a455-79b9d8ae65a7	TCGA-R6-A6L4-01Z-00-DX1.67EFB685-EC0C-4837-B866-2595DF38EA29.svs	ab7055694dc629f322330c09dcb83a14	475236919	live
20	a74ce98d-f272-41d2-943f-8cb6440e5632	TCGA-R6-A6XG-01Z-00-DX1.88BC85D3-7EF7-4D0A-88DC-1A837084D715.svs	1ceb3586f36b588d22e0c1d707676dd7	93061513	live
59	e5b7e286-74c0-401b-b932-f745113cc636	TCGA-X8-AAAR-01Z-00-DX1.1D57D401-00BB-430D-9CC0-C2BF8BE23B7D.svs	bb2e62c82522b63c419bf063a07d8656	1089657951	live
60	cdef49dc-285f-4b36-9d99-21338e6c8f70	TCGA-V5-A7RC-01Z-00-DX1.044C13B6-A5D9-4DBB-BD0C-B392BB8A46D5.svs	788680256bdfb44a159912fa39f51ff4	1333904772	live
61	d99b4cbb-3886-4496-835d-4e3b13ee217e	TCGA-VR-A8EP-01Z-00-DX1.90476E9D-D574-4559-A07E-B360360902C6.svs	b4a857d4534ec4a2c4ec03e59610e6b2	2034361473	live
136	39009231-4f52-468f-a712-d456b257e0db	TCGA-LN-A7HZ-01Z-00-DX1.3B2E3D05-6241-4938-B900-23F510714046.svs	eaeae705fc62b9892d992bfd4c37577f	749819981	live
298	e28ac1d0-6459-4dd0-b2e7-e44e343379ce	TCGA-IG-A3YC-01Z-00-DX1.71785237-8DA6-4034-9CDA-9BE227D53A49.svs	fb91e1b6fd44a254997c324d4eaad74e	1221734031	live
369	bd37c2f0-fe96-4a6b-927d-03d467f965a1	TCGA-L5-A43M-01Z-00-DX1.05B47483-0D66-45A3-9EEC-244D454C0B94.svs	fb6039f0d8a3f98d8499dbf828e32b4a	1655580871	live
370	09fc8def-e922-414e-aa95-07a19a60a892	TCGA-IG-A3YA-01Z-00-DX1.C2A7B316-44E0-4CA3-B76A-241C61BFE492.svs	0d3d81ed2ec3a4c562898f76f88e63ac	1249670547	live
372	d7f08565-e188-4998-a50d-b11b0c860068	TCGA-LN-A49O-01Z-00-DX1.AB102F19-2483-4F79-B02C-825E74F3ADD8.svs	8bc0fa47e0187f42f64307e25593758a	919595922	live
583	93c50045-5eda-480c-ba80-69dac91d1627	TCGA-VR-A8ET-01Z-00-DX1.D9A85EDA-4258-4762-B894-8F7F1E30CEF6.svs	c4dbdcac6317a939ba55b14286665c01	1463979235	live
642	c361c8f4-ea41-4909-8265-cb0a0e24d945	TCGA-LN-A7HY-01Z-00-DX1.AEEADA09-F984-4A4D-93BD-B5FA02E3E743.svs	23c73cae562f08ce4affefbeb4725ec7	664967013	live
829	abb1edcd-6c4c-4224-8929-0f4ac1f79eff	TCGA-LN-A49L-01Z-00-DX1.AABE0DE6-0AD2-48FA-B65E-70D7B7867FC4.svs	b842c36acb8f5dbe0c09eebe5dbf16c0	778401550	live
830	4c7dd2f1-d033-4dc5-bd7f-ec13419c25c8	TCGA-L5-A43J-01Z-00-DX1.9416C31D-C72C-4665-9345-7AE1395F4B86.svs	6319adca54c1d6ff3b79820a2116e3b9	1348048657	live
963	17807101-4b77-4330-950f-be1483b1e76c	TCGA-IG-A6QS-01Z-00-DX1.F8F804CA-97FA-4941-BB0A-1E651424E009.svs	19a40b0c31325f41f6d09014c62b8bf0	757816647	live
964	2d8c2a52-486a-440f-84b2-19668e8e1ab3	TCGA-KH-A6WC-01Z-00-DX1.3F29FCD8-7176-41F0-93D2-66A1628389AA.svs	951e97f5c0a266dab2a08e21537c0ab1	295147181	live
1158	930ae683-3b75-4d81-8be5-906100e80556	TCGA-JY-A939-01Z-00-DX1.BD1BA160-929F-442B-8080-71B2725A7ED1.svs	6a8556760ccfa6a4ea4d01e9949b4601	1466189296	live
1159	8f1755d3-f3f9-44f5-b55f-77dca6173ea6	TCGA-JY-A93F-01Z-00-DX1.8DCF766B-0B3F-4B4C-8FD3-8378BECD2C9C.svs	20fdf97e5a9e5141f53d9316908681ae	1537822220	live
1160	98c77cff-eb50-40e5-a5c8-48e7596f2010	TCGA-2H-A9GH-01Z-00-DX1.B2BF80D6-D348-4C5F-A205-6827684BF3B6.svs	5237804f2274f772a1d47703c05ad1e3	950776123	live
