	id	filename	md5	size	state
152	34401541-0605-41b9-86d4-180f63d18b54	TCGA-02-0430-01Z-00-DX1.aa4aaacb-1f80-48f3-84c0-39accafc45a7.svs	8829f0138dd8d7df0347ec07c1c07cd5	865264519	live
153	ae0b3a02-b43c-4de1-b0a8-601293e9ca1a	TCGA-08-0525-01Z-00-DX4.bb5894c0-c460-4cf0-899b-420f27864cde.svs	0484bc025a118b1204d7172d5297573e	650970509	live
154	6eccdf03-5ed1-45a1-a0be-6afa3cdabddb	TCGA-08-0518-01Z-00-DX8.01f2c18c-09a8-4837-8619-62f1c9b82669.svs	95b1585cd0b053425ecfc3a5b0091f8c	815910581	live
155	c53012e2-566b-42b6-9386-0c701330574b	TCGA-08-0518-01Z-00-DX2.cf1340b8-b75a-4da5-a36f-f9d60c99884b.svs	86913cc67bf0d2a60d1171fe7b7d4ab0	446880635	live
156	b54e0538-50af-4164-b413-240842c7f0ca	TCGA-02-0317-01Z-00-DX2.15FFEA24-40C1-42C8-AE60-9CD346EE171A.svs	620f89dc5c2da56564749db11b861ad8	2222188322	live
157	fb38849d-7aa6-48ff-ab0c-955a54841ac7	TCGA-02-0439-01Z-00-DX2.0d915642-436c-4502-9719-c9da3319c0fb.svs	3a3e0fbe4465b2e632125bdcbfd34815	634203683	live
158	89148fa7-073d-4278-aa16-44a7397c3bea	TCGA-02-0281-01Z-00-DX1.6db34ca2-a4f6-4efb-adfa-05bd51f9fda2.svs	19f0fb7d724910de4844e6eea793a9de	542769765	live
257	0d957504-23f4-4c36-bdfe-4505c3656d35	TCGA-19-5950-01Z-00-DX1.4ee3aa4f-8cd7-4acd-b6e3-2829adf8da7a.svs	1af83993502e33c8ac6fb0d9aaffb71a	354641433	live
258	a3a9b14e-1b3c-41ea-8ca6-08115151896c	TCGA-15-1444-01Z-00-DX2.76CD1F22-4894-4390-ADCC-BC88CB42FD96.svs	aa661cdb13f56da7ede49f618d780f92	2465267836	live
381	58dc655b-dadc-4dd7-b0b8-5bce599a37dd	TCGA-02-0339-01Z-00-DX2.540BCD7A-870E-469D-BC9D-FBB9E2FEBDB3.svs	89b31d071654781ee31ddb8795fed7dc	2541995008	live
