	id	filename	md5	size	state
133	8518db79-05bb-4fd7-85bb-7ad81d111532	TCGA-CV-A45U-01Z-00-DX1.ABAEB988-816B-4644-B3A8-C2A83679E28E.svs	65820c882b994c3a1287692ce8178735	844992085	live
134	23405685-2fa3-4f18-963d-3cd82ea8205a	TCGA-CV-A45R-01Z-00-DX1.020DC147-B033-4282-976E-D254F9C19E09.svs	4aceb9fa6143584f8a8bae5abd90ebec	1347143445	live
135	e518bda8-9357-4844-ac16-ee8b9fc84005	TCGA-HD-A4C1-01Z-00-DX1.AAE02372-CA5D-463D-937B-B88A1C5321F9.svs	a18e3487fb54ad54857627c179808073	589598184	live
141	35faa244-1cb8-463f-832c-7ea4598bec3b	TCGA-D6-A6EP-01Z-00-DX1.C589624E-0713-49A5-9C9C-FE727766A0D4.svs	f898b38395c0802d78fc91e88fb746ba	1508024063	live
181	4b08422d-b85d-4153-9842-826c3bb63a04	TCGA-MZ-A6I9-01Z-00-DX1.478C5347-BF30-4CAA-8215-58778D79E33B.svs	7b51987487f30e9442d031831ee460dd	451622987	live
182	223effa2-56ff-466b-9656-2ff7889d047c	TCGA-CV-A6K2-01Z-00-DX1.C037C52C-9B5A-4F6D-8A9F-A3F771DF79F8.svs	77ff3b099b1c40d4cffa628fcad11fa3	1915403679	live
184	012d5db9-e6d2-4b0f-92dc-fb171cc84d20	TCGA-CV-7432-01Z-00-DX1.02BC191D-C486-4551-85A3-34A15A33CF27.svs	494c019a324da60df0b62920c4118297	1333964175	live
185	5926b702-5eb2-4f68-aff0-a4ec0d1ada09	TCGA-BA-A6DD-01Z-00-DX1.5B67DD6F-811C-4DE2-894E-C8FE4CF7FBE7.svs	a75aed64db909441082c9e47e1808843	1655797096	live
186	bab2f252-24ff-4be2-84bd-b40eb915f5de	TCGA-HD-7831-01Z-00-DX1.7FC42425-B0F9-4385-A729-67E900575AB2.svs	608d4b741cac849cdf7554f73af423bd	654929139	live
187	0646a711-6a79-4c9a-ae81-98924e86d456	TCGA-P3-A5QE-01Z-00-DX1.AC509BDE-864F-4E38-A693-09EE13C666A5.svs	e4602ca8c5e3e723dc358bc3a2ba637a	2087216218	live
189	c5132f37-3251-4b4c-9f01-ffa8cd43c843	TCGA-F7-A623-01Z-00-DX1.230FB4CB-F266-4E12-8BB5-EA85CF4DF98E.svs	5660cd00687731e48cadbdaf9b05d8dd	799240013	live
285	cd3ee01b-2143-4525-8a15-e8f8a4fe4733	TCGA-QK-A6II-01Z-00-DX1.26444044-1A2C-4731-9169-10C2242BCA11.svs	49f0eceb458eabbb51d54debdd302ef5	1990463964	live
288	11436f72-2fdb-42a5-963c-61c904c3c34b	TCGA-D6-A6EO-01Z-00-DX1.BA27720A-A991-4DE3-8111-33CE7264BADE.svs	92a64a839d2060060350a2f344e49f6a	1444101661	live
289	83ca11df-e45d-4a36-813f-d727ec94823b	TCGA-BB-A5HU-01Z-00-DX1.B9A51FFE-D49C-478E-82C9-ABB7AA43EA4E.svs	dc3eddb2e6619ff869782b34cee5528f	818235829	live
290	68725825-a7f3-40c7-aafe-4c404bbb676b	TCGA-F7-A61S-01Z-00-DX1.BD41A8AB-B10D-4020-A00D-47A3A3827955.svs	3611c7f65e79f8a9ea8ab84c3b3de809	1192118215	live
291	86e3bc29-10cb-45ca-be71-6240b0d9b84b	TCGA-F7-A622-01Z-00-DX1.CF21E24C-ADA4-49B6-B064-A22CAC2BA770.svs	9a2b28ba0d73df67b47e4351eedab971	525323065	live
325	a6a8ad9d-6249-4e5f-aff5-03b7b4f26782	TCGA-HD-7831-01Z-00-DX1.D785EFD4-E712-4649-B142-6D38E30A0DF8.svs	608d4b741cac849cdf7554f73af423bd	654929139	live
328	e245bd8c-2655-4255-ae12-c064367241a0	TCGA-BA-A6D8-01Z-00-DX1.0198253B-84AC-484E-9A58-F7CF8AEBE922.svs	4f739064948a28ffde2670fc5d5f029d	1563693092	live
364	b02a7673-97e5-47c4-bab3-e584bacd38ef	TCGA-CV-A6JE-01Z-00-DX1.20137D17-19B3-49FF-9C3D-60933157E409.svs	b58e5b99af0c74c4f7719c8cfd1f107f	1833841921	live
594	8fcca13b-4a49-452a-b6b3-10c04acb4d4c	TCGA-CV-A6JT-01Z-00-DX1.3B772BC7-ACAA-4DFF-9A51-2F954EE3B0A2.svs	c8cb53091099a3f4c2ee305569b3b7f8	1792087819	live
595	f98cc447-4c83-416a-bf77-d3f4665e8b09	TCGA-QK-A6IH-01Z-00-DX1.64FBAC70-4F12-4CB4-AA19-DC00AAC18F44.svs	500d88e39f1dbaf6de60e9e14b869374	2213084572	live
598	70bd7773-bd7c-4bf1-86b0-1b2dd78c6a2d	TCGA-F7-A61V-01Z-00-DX1.6F80F8B8-59B1-471F-9BD0-FEB02AB314D3.svs	b892dd6959813c782622f8d64710a552	452170983	live
600	52b08cbf-9d76-4b4b-9408-ffa2a12dd09c	TCGA-P3-A5QF-01Z-00-DX1.EC33D817-A9FF-4406-9FE4-12D0F37AA189.svs	1e86f655d731ec72c6bab50d114c37c6	1931080836	live
