	id	filename	md5	size	state
0	47cb8fa7-bca5-41f7-a009-e11ef50b7f70	TCGA-UW-A7GP-11Z-00-DX1.C89DD837-4B77-4CB5-8FAB-DF9315892B9B.svs	5a22b920e8f8d84ee55dfdd683b5ab76	1337351668	live
1	c86b6bc8-fa9a-4a51-b547-7d270ee3ca50	TCGA-KM-A7QD-01Z-00-DX1.E1FCB533-0017-4A90-9835-6CD26FEA30CA.svs	545ff517a94aa16cddb11f3f7471c3fc	1162699927	live
2	6427fcf1-f481-4d83-8c58-6bd0690603af	TCGA-UW-A7GY-01Z-00-DX1.CD2CCA5D-C92B-409C-B5D6-1EB7C8A0B4CD.svs	c87900710701a20cadf2c627ecfc89ce	1905957156	live
5	c1c5c019-93e0-4fbf-a60c-b7e6d0b883fa	TCGA-UW-A7GG-01Z-00-DX1.83625891-206C-4060-924A-166BE9E893A7.svs	3fc977cf96526fd522b61416faa73733	1639266820	live
6	73591ea5-c0b8-42c7-8dd5-44fca3969577	TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720.svs	d53eb2dbac9721ae2313058a8d621ffc	1009491360	live
7	3080b0d0-174e-4247-b4df-ecb5b282770b	TCGA-KM-A7QC-01Z-00-DX1.4B44EEAA-FA1C-47F9-852F-68EE45E09D5E.svs	b3de6258a7eda6b726c36181a8aa49b2	1580370105	live
8	185b5356-e97d-495e-beb3-832a5c1015f1	TCGA-KM-A7QK-01Z-00-DX1.8D69EA34-F28A-4267-8A82-159FB2B7008B.svs	b0e82bd4ea82fdb4a67d2f2348c9765e	1095633437	live
11	245b2509-5093-4d3f-b005-ca2d210643ec	TCGA-UW-A7GK-11Z-00-DX1.123382DA-3237-4467-ADDD-21A1617DF4E8.svs	c75494ea83e324fcb38978b76ebbdb93	1176001414	live
12	6fa4ab82-9c88-4117-ab7a-6f4b85967749	TCGA-UW-A7GG-11Z-00-DX1.35E063D3-7E85-4BEB-9807-26F96CE31364.svs	9c86d040d5182ee5608e5e65390743da	1164726682	live
13	6983cd7b-f67e-4ae2-bb45-7baf6632562f	TCGA-UW-A7GU-01Z-00-DX1.30C1C11C-4113-4F8D-8372-5EE3DD33564D.svs	d4d37cc3564ce3a702c5a5adf1e1fbdd	720365928	live
18	263b2fde-6a10-418b-af92-e0e599ebff8a	TCGA-KM-A7QL-01Z-00-DX1.2447532C-3635-4F36-952E-F5A5A566A7DB.svs	9e946cef6f0b83d5c953aa20414b1447	1203480689	live
19	1e8c0ba6-a63b-4d09-a54a-e6455a028333	TCGA-UW-A7GJ-11Z-00-DX1.97F9F149-FA58-4535-AE9B-237B8F87DEC7.svs	038d0c4ce5f16f450be488354db42c96	1253194132	live
22	f012eb21-dd05-4e7e-aa6e-ca49c9847ce5	TCGA-UW-A7GR-01Z-00-DX1.094D510F-5348-4543-9F18-73815250F824.svs	6c2220de9d6a40250e80e8707e998ae9	1478967802	live
24	ba03cdf4-81ed-4374-affb-a91dcce5d354	TCGA-UW-A7GC-01Z-00-DX1.D2D6FCC6-719A-4C03-A496-E23D18655538.svs	6daf1b87a43214b528de454a4cf68d83	728488842	live
26	ea82a79f-30d3-456c-8433-992b317ff27d	TCGA-UW-A7GX-01Z-00-DX1.C99CCFC7-C714-4F0D-AC12-D88F6DFAEFB6.svs	aad15ca9e7b3cedd94d627d2c47535eb	1074179686	live
29	5baf8b15-c5d4-48ad-9769-4001453f8d33	TCGA-KM-A7QA-01Z-00-DX1.971BE7D3-6E83-44C9-AFC4-50FE85E9C982.svs	5068f5d7d0397dee874a2edd2cde5c3c	781444727	live
32	ad8b89db-5e44-4266-8fa1-41caa39fb2ed	TCGA-KM-A7QB-01Z-00-DX1.CC441A0F-8A5C-4406-8A8D-86CB62E7B114.svs	ce27e23452c367c09bcbca7d56f2a227	1125133081	live
33	278a7bfd-428b-4b75-964a-7a2027165b08	TCGA-UW-A7GY-11Z-00-DX1.7410A3EA-BFFD-4744-8DB2-66A409C0BFA9.svs	337883fb8957f931485cfcd971c1f0c2	430526190	live
213	91df97d2-d170-4d2f-9f2f-faca0a0a1c80	TCGA-KO-8408-01Z-00-DX1.4D45F809-E93A-4221-832A-97C3A4B4E30C.svs	fc1540266a493812f387fb6f448d63d1	1268096819	live
214	1f6f6944-1c24-42cf-8b78-8eb39657e222	TCGA-KL-8328-01Z-00-DX1.497ddcb5-0436-4c76-a633-4744e24e6efe.svs	f7e0565cc53bba2ae823dbc552375387	1406379264	live
215	3d1c4865-c3fc-49d3-8d0e-a97eddf17018	TCGA-KL-8336-01Z-00-DX1.bfba9373-efa8-4573-8ee6-8ac961f0b65a.svs	95e97d430db6bc89a44a9a05ebe851e4	1245812512	live
216	e68e301d-5b12-4c73-a837-b1c4858163e6	TCGA-KN-8423-01Z-00-DX1.EE5F8790-38EB-437F-9C5A-BC6FB58F6ACD.svs	96d9669428ab74188dae07f10946d22e	1588073099	live
217	6396db9f-91d2-4ff1-b539-c9eab1a3edab	TCGA-KN-8422-01Z-00-DX1.26F9BF86-6D2C-4C99-BFEB-A3708AD48734.svs	a15c29967660760594f02803a04dcde3	2227897183	live
323	7e76dfa7-91c6-4c1d-b23d-0bcb5216b90f	TCGA-KO-8406-01Z-00-DX1.F9FDAB2C-9EEC-41D0-A29C-530107B96AC2.svs	f2daccf0b3a24f6f5e0540d945e81097	1173741371	live
351	8a9b6298-1d78-4d97-b714-443bd39d5119	TCGA-KM-8438-01Z-00-DX1.1106521B-3563-43AA-8971-18560BAC51C4.svs	b52f392d835f7ba009aaefae4121fa8a	1007291297	live
352	9e719292-72b4-482d-a93c-98cb760966ee	TCGA-KM-8440-01Z-00-DX1.528E053C-E8A4-464F-BE47-412836B1C31B.svs	b08d2c9f065780cb8e541c39523748a5	1889681701	live
353	f4313ab9-9de6-4464-a5c7-f06ddfd0dec9	TCGA-KL-8338-01Z-00-DX1.c3febc9e-8adc-49e0-9ce1-9d2dcc79c09c.svs	51293042d4fbd0722bc46094b25b68be	1356107726	live
377	76385cf1-ae15-4882-8241-aa3a07a4d04f	TCGA-KN-8425-01Z-00-DX1.1D2AB7D2-6AC3-4785-9FBC-40AEED5DE558.svs	c48307da46094ef3eeca422b7f39797a	935473777	live
378	d376a22b-0e0f-46e2-ad06-bdc2ba3f0d39	TCGA-KM-8476-01Z-00-DX1.BDC7C35E-1B36-4CF6-9CF0-B63C68724EF2.svs	b8fc903fe19fd777f429380c2a500d96	713807597	live
379	f508e715-976f-4bdf-976f-77fa655d3798	TCGA-KL-8345-01Z-00-DX1.e6265e77-7c45-4e54-a703-6d2013aba525.svs	06c70dae53c15df62427d6aa75ee8732	1653079376	live
722	0096d378-26ed-4fbc-85e6-6b5903673784	TCGA-KN-8419-01Z-00-DX1.15311E57-CCC5-4D15-88DC-0ED9FD2CF2D0.svs	f420c7f105d12fe0b2aab52391a55525	1982785195	live
723	1d761563-33c9-4272-9201-4b35b424445c	TCGA-KN-8424-01Z-00-DX1.4EC063E2-A058-4610-9B47-FCE2172955B6.svs	2acafc098387077ceafa6ba23d072e5e	1950857407	live
724	b26956f6-5462-4442-b956-602f34855ec7	TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e.svs	70950f3039a36c1b3482432852cfeceb	1177329982	live
725	de96f01c-1ec5-47a7-8704-20ac8711ba84	TCGA-KO-8415-01Z-00-DX1.CB5F5330-C4E6-4ABB-B9A5-92F94EF23837.svs	50b9eb60d7a1ebd56230c70bc562b62d	1078800083	live
726	08730d9e-4ff3-4e00-8f1f-cda038dd258a	TCGA-KN-8433-01Z-00-DX1.4AE64138-3E04-46AC-B905-52CB71261230.svs	fb8d07d783bab0d963b07545c2494025	364251607	live
727	674f6ef4-cb0c-47d5-9d9c-6731e897a3ce	TCGA-KL-8332-01Z-00-DX1.3a375f5f-38e4-4022-8b36-5d8547870417.svs	40185195de563560283c216d079b9c91	2178187898	live
728	33e21f72-eb8d-4409-996a-fac1f2c67564	TCGA-KN-8430-01Z-00-DX1.8192F868-A504-44E0-929B-7527EB37ECAB.svs	a60abb459b90bfce76c871e842ed7151	2212101927	live
729	f9ce0f4c-84f2-4497-ba97-5c0578344eb2	TCGA-KL-8331-01Z-00-DX1.3c39f9b9-b639-4bca-a415-bf7427ea2ba5.svs	01d9ac147d647bfc6aa61b4d4584686b	1269280738	live
1452	be50607b-e554-4eb6-944c-dab92f66d09a	TCGA-NP-A5B3-01Z-00-DX1.6DE4C2C4-E135-4117-864D-2A477D6FDB86.svs	5542e9302beea978c56c720a3f25d2c7	134144490	live
1453	2ec24aee-c0e9-480b-b0d3-a7a50cfd51c9	TCGA-NP-A5GY-01Z-00-DX1.F405475A-B246-42FB-8380-8953B328193E.svs	b8bd1cf87ef118f937f1bdf8469b0d33	222112566	live
1454	b346f490-2a4b-4d41-af8d-66044209758e	TCGA-UW-A72H-01Z-00-DX1.25A52BAA-4000-4AC7-9B93-9D9790C8834A.svs	8dc065559b3c1693555cc11b1b7388b9	1288946082	live
1455	94716644-b920-4dfb-93a3-c7840ab7a676	TCGA-NP-A5H6-01Z-00-DX1.49B2A361-7BCD-4321-8372-8BAB636E812F.svs	737c38aa1beee5117f222868af5beb39	198959314	live
1456	90d36e04-a44c-4746-8fbf-b73a7c75f953	TCGA-UW-A72O-01Z-00-DX1.755C4693-A9CE-48E7-A76B-DAECEE850D35.svs	14dd0e9905f6727d052d955a0fcda0f4	1072874874	live
1457	ad80118d-09f8-427d-9570-8e57cae82bca	TCGA-UW-A72S-01Z-00-DX1.EA180EA6-ADD1-4ECC-89D8-082B185AC2B4.svs	1000cb7fadfd91b0e41e62a648be3ff1	2374520108	live
1860	6c19cfa0-02ac-4640-82d4-dd4e83a1e2c5	TCGA-UW-A72T-01Z-00-DX1.1F6EC843-0D4C-4231-99D2-82174C9FF94D.svs	e591d95f1cd0d34f00d818acbd7e6cce	1010481802	live
1861	3a36f2c7-fc92-4707-beb8-8adcfa19f2bd	TCGA-UW-A72K-01Z-00-DX1.F1E38D60-26AA-4D0E-8738-7711611D10D6.svs	be10aae8a5ec6b486a46d88e987e5eed	1184832260	live
1862	0293ea6e-dd9a-4e8c-8122-159a57cc8807	TCGA-UW-A72Q-01Z-00-DX1.6EEF0E01-E576-4DCA-B613-451D0079EB13.svs	57f4fa48a9a94e2608c4b5e848dce148	495213450	live
