	id	filename	md5	size	state
42	9ce72cfc-39d3-4876-b867-8478e525b4c3	TCGA-CZ-4860-01Z-00-DX1.4e1e4ab7-d82d-437e-a403-5e4cc2647751.svs	31f10b3f28d45204dbea44d7d6bd578f	1149767746	live
43	4e9a47b2-1cb2-47d2-b359-f6fea4f96ca4	TCGA-CJ-4874-01Z-00-DX1.614D8D7D-E9FA-464D-A90F-C5C789664287.svs	a8c347f88f8eb8da9cb381d6d95095a6	1725325291	live
44	237cccff-66c8-41eb-ac72-f9f963e7828b	TCGA-CJ-4876-01Z-00-DX1.CE682056-925D-456B-AD68-53975CC082D5.svs	a4efd72aff692914d1ae9e049d0cf061	1278947777	live
45	71f982f9-dd9d-45e9-962a-cdbfe9324c2c	TCGA-CJ-4635-01Z-00-DX1.EEA2C1E0-650B-43AC-8674-9401E927A4CB.svs	416d8da8cb7d2c48f053bf62326c7aa4	1297350259	live
46	5ac02ace-3951-45a9-81c3-dcdf7b0cac1b	TCGA-BP-4798-01Z-00-DX1.5f6fa5de-bdbc-4048-9948-c89a25a92fd5.svs	bae5528ae44e3b85e16165a25182636f	1198133162	live
47	64338ac3-0e39-4b32-b455-e9e00399ec33	TCGA-CJ-4871-01Z-00-DX1.B944523E-7380-4C02-A3C4-B337A41AEDD9.svs	ac9697cef654e3f2b094aefaefe5622f	1504640409	live
48	a55035a4-14fb-4641-b873-9094c4d258be	TCGA-BP-4789-01Z-00-DX1.be26bdc8-622c-493e-847d-229f6649c24a.svs	981f05e95b6c679e4ccfefde80cc7d27	849898256	live
49	60192614-4e65-449f-9a60-891e12c39de5	TCGA-CZ-4861-01Z-00-DX1.c36faa05-5e3b-4711-897e-c91f84405870.svs	b5b1be55b24dedd01e315cf44bb645e9	735336448	live
50	2812d70f-197c-4504-a783-0cc8a08c7b8e	TCGA-CJ-4870-01Z-00-DX1.38991588-D25A-48F6-80B5-51ED34AA8D35.svs	7a1323619a9c7b5fb0bf04959c6fc400	1955635955	live
51	fa859cde-a5c3-46a8-8fb4-9c66460a6b25	TCGA-CJ-4891-01Z-00-DX1.5E9F7E8F-110A-4A9F-BCD0-9CFBA14E1419.svs	69258c5cc584ed81cdbed8d50c125c05	1781299531	live
161	79a73db8-e487-4a71-8ab1-bf62b89c7c3c	TCGA-B4-5844-01Z-00-DX1.64CF8817-E960-45EC-8073-8228DE0486C0.svs	6caa86f09bfdd92495f51a96ac4cef7d	357330513	live
162	80cdeb94-6019-447e-bc47-0a2403b17874	TCGA-CZ-5985-01Z-00-DX1.d04f9dbf-987e-4640-847c-9d263b15b4bc.svs	8ccf7602486a4e25a355e10ff0b218e8	1226939205	live
