	id	filename	md5	size	state
140	f1f558f3-bf08-42ce-8583-e4444bd6300b	TCGA-80-5607-01Z-00-DX1.94C9CF78-2F79-4A0B-8939-1CD9B915222D.svs	63218ecc2520550b32d404fd72879e7f	398188856	live
143	d15c3d93-f6d3-4b6e-bca5-1ff5e88d3ddd	TCGA-55-6985-01Z-00-DX1.428ad69e-c0ea-445e-8d38-fa2dab6eb81f.svs	78dafd7c11d2a408dca376819f4658d5	131912383	live
145	8277b109-4fa4-4529-bdcc-b438eef45450	TCGA-75-7030-01Z-00-DX1.5DDF24B5-00D1-4418-A067-A9B609E15314.svs	4832a3649df7b45e474d53e3ff12ed3f	479223350	live
180	3dddb370-f375-46b8-8efe-61e6fc9c8348	TCGA-55-6968-01Z-00-DX1.810e0fee-99ab-465b-8ae9-fb416e4dca3c.svs	637be65e142802707e423f919c98e2d3	376581993	live
188	3e145937-cd68-4142-a1c4-d2a452300e0f	TCGA-55-6986-01Z-00-DX1.ae52d41e-3cd6-4d36-b04b-2ea7d29bd8da.svs	c75b685a162de8cb0a639f27eece59ca	255509053	live
212	811e1e74-c875-415f-9198-f519d927cdc3	TCGA-J2-8192-01Z-00-DX1.A784F381-7906-480F-99A1-0B88005953A0.svs	b0f0fb9f3c7ae99560321f9b46c57a91	4085552795	live
283	1e02f41b-8540-4e57-8c2e-887d58dda48b	TCGA-75-7025-01Z-00-DX1.284477D7-4F47-4084-A15C-0A7E9571E3DF.svs	4b4f6a89fe28a7af60b38f850050a1cf	150235584	live
287	5dd687f9-2fe7-4f7a-9911-f454f40edfe9	TCGA-95-7043-01Z-00-DX1.AE0FD8AA-9B88-45FE-B247-402BED1285EF.svs	b97cc8c07cb8e2e67740b16b094309f3	970781952	live
321	aea981ae-080b-40b4-a3bd-602f6075ed9e	TCGA-55-8096-01Z-00-DX1.c833417d-10c1-4430-a241-d6f5496e1cd9.svs	733ad826865aa1d79ea5071969bc2799	137229883	live
322	7342aa43-ef8f-4879-a2c7-c6c48bda870e	TCGA-99-8025-01Z-00-DX1.76d4e012-91a7-4f1d-ba0f-4cecd812ec49.svs	0f9da96e6f7a4912079ab0b807545ea4	189284751	live
