	id	filename	md5	size	state
111	424d5aa7-91a9-4613-8f9a-d5e3571e711d	TCGA-33-4583-01Z-00-DX2.8fc10fa1-82b8-49c5-972b-e4303b4293a7.svs	1fb408414e0ecef239768dea5629f30a	1388972133	live
112	980bd78b-0ff6-4f6d-90c5-79013a37fff7	TCGA-33-4586-01Z-00-DX2.a9798fe4-8db9-41d7-8d00-eb2a9eef1bc0.svs	a053f6e427779b50a190ff140e98ae5a	944150231	live
113	3fb6032d-a719-48c5-88f4-bf5b683fdc57	TCGA-33-4583-01Z-00-DX5.e2724cf8-d3fd-4ad2-9732-4ba02220d053.svs	1effedf8dc0fdb4ffca65b5d24c4c22e	616658151	live
114	01f1fb12-86cf-4d24-8286-7e8b625e18a3	TCGA-63-5131-01Z-00-DX1.C1C3724A-D9FC-46D6-9D7B-9357A58ACAEF.svs	830db57fb102ecb0187e67e3a07794a8	137040676	live
137	be841e89-b7a8-49dd-935d-a28532b89b97	TCGA-34-8455-01Z-00-DX1.9B7A1CBA-0B53-4F2A-9AEC-D72FDB6553F7.svs	636f6cd64f6765b38310ec42c15ac7cc	2037857493	live
142	db486370-e58d-4ad8-8b65-b9488e415020	TCGA-18-4083-01Z-00-DX1.337D4583-326F-4108-9441-DC74FAED6AE2.svs	02eb1561a157b5b7aa5d33c144c89d73	718877396	live
144	ceca3f86-43aa-4794-9755-9e88099f5187	TCGA-51-4079-01Z-00-DX1.111f7796-3797-4334-b543-918e374dbc22.svs	d3016fb28f3a4eae3b460a6f2425c02b	458168319	live
163	677bb0c1-24f0-441a-b961-22b929fc1dbf	TCGA-60-2716-01Z-00-DX1.28642302-a114-4e80-b9db-c04eee7d92d8.svs	606ade2fb173ca3bc61f1a9aa437a055	754250761	live
164	4ee4fe44-5af2-47c4-a9d4-84a9642c3f5b	TCGA-60-2698-01Z-00-DX1.738ae69e-5170-46d6-b691-9f761f9a794b.svs	22928db9e45c4a2ea07421a91cd54ad8	1396462787	live
165	7bded7ee-46f6-47e6-9b02-7a2ef6de8e8b	TCGA-43-2581-01Z-00-DX1.0d1203cf-9ac9-49a2-8bd0-063ceae7b1d3.svs	6658823590106cadbec05650d8b0f1ce	210881107	live
166	cb464a73-7a8b-4de1-8f53-ad6b50748538	TCGA-34-2605-01Z-00-DX1.4DC249E9-26AD-4C0A-918C-3BC6C2DACDD0.svs	5f8b1484880f29eff999ea1ba0760413	1180651447	live
167	fa49b6b9-995a-42d7-bf18-a41ee7024f38	TCGA-60-2726-01Z-00-DX1.3c30934b-c93a-4dad-9c44-b417eae17137.svs	10fb8c1e50aaa38616c31da65b7dcdc4	614708095	live
183	2961854e-b376-46da-99e2-78aea36e5d84	TCGA-37-4130-01Z-00-DX1.37ccfdfe-fc20-4809-8dc7-e342242d0bfa.svs	19bc73cda410dd1cb36dd31c5e99b7e1	867093793	live
205	580c27b8-ea61-4a5f-943e-2b7d97a4c657	TCGA-63-A5MG-01Z-00-DX1.EC6B6782-C52F-42B5-AD91-AB718B7EE1A6.svs	fbbf9f1a8de8a05be24cee05916752cc	250019834	live
207	2b69e4f6-f66f-4425-9e42-d7a24ed4739a	TCGA-94-A5I6-01Z-00-DX1.55C3DD79-D988-47FA-81FE-2BA20C291530.svs	ffdd27092f3a46544dbc9f3b240c8df3	1933537066	live
335	db2e359c-19f8-4562-82ba-9cfaa536564d	TCGA-56-A5DR-01Z-00-DX1.F8F196F2-9380-490E-9D77-ABAC1E58BC5C.svs	e7564c611a7f2e0e8ee7bae80315c93f	69136728	live
336	d219e806-4d47-4b7b-b0b0-d2798118a934	TCGA-63-A5MJ-01Z-00-DX1.4F060025-3A21-4FEB-8A63-F55A95BFBA30.svs	6cfb7f145dba45540e2b39ab0974cd9b	95271782	live
338	0706c05b-7ec8-4ba4-b645-be83ee3a7a4e	TCGA-77-A5GF-01Z-00-DX1.8E70F660-4492-4BEB-A688-217DE27C1E6D.svs	7ac217b8a1a808de18957c1d444b7bde	1724783447	live
339	f08cf29d-40b6-4feb-b497-c7ca8bc525d4	TCGA-34-A5IX-01Z-00-DX1.E10EE7FC-91EA-4A39-8B1B-1312C8D9620B.svs	f7599df8e14bede5d396e0a992d88086	1939434691	live
383	daaaa8f3-d572-47cc-b3c7-d0551e0acd1b	TCGA-60-2713-01Z-00-DX1.8cc5fb8d-be9c-4f25-b088-85e1feff834a.svs	3451910b98dcc13146b3a264cf45adcf	1053377429	live
384	57ccb15b-7afb-484d-9c7c-8d1db05f7426	TCGA-60-2707-01Z-00-DX1.4aafd76b-eb0e-4ab9-a740-682c169a3c3d.svs	2d68a93d8c03b107e3ef76d6a326335a	887279597	live
385	7c2ee5f8-0175-4f18-9c42-1d913ab75382	TCGA-66-2770-01Z-00-DX1.c11eb894-06a2-4bd0-92da-70fe024b07f1.svs	f13e701a2b25770bf636d4b19a3aa38e	195958957	live
386	d9a932ce-6f60-4ca4-b470-c4b68d72e8cc	TCGA-60-2712-01Z-00-DX1.97003dfc-4b37-4491-86e8-0801e6825aae.svs	c6093b0c1f9525507129700a9ee89150	846882785	live
387	e0c78f24-df9d-472e-a51c-203f7fd467f8	TCGA-66-2755-01Z-00-DX1.ccc904f0-4cd3-44a5-8b68-7272f2a7558f.svs	8fbc965ba4259301a912b99be1354a6f	266467833	live
388	94cfa117-8668-41c0-b6d1-3454ee4efc2d	TCGA-66-2769-01Z-00-DX1.101b6493-a7b3-42cf-ae2f-a90948f3fb8f.svs	0a141f3f0c8a59343a5d049e5f6d4ba5	287590667	live
521	7b3e5d2e-5574-46e2-aa98-ed1f722a7ac8	TCGA-66-2781-01Z-00-DX1.ed9ff5b7-7c66-4bf7-bfb5-ca48b9e1a54e.svs	c92f83b2e9e0cf6ba1cb1ce10f90a641	184216505	live
522	e8181703-3580-408e-a2f4-d2a2e4e850cd	TCGA-66-2785-01Z-00-DX1.b9439ee1-d22b-4ccd-b53b-ce7717a37a17.svs	385d0961a6a36338542b64b9bd75ebb4	269500051	live
523	9f8f7ce3-04c8-492b-b3e1-36164b47b621	TCGA-66-2758-01Z-00-DX1.23611c66-bd21-47d1-abb0-2f3da38c377f.svs	3bda51ca5386cfd28fce1ff6b83879c5	312481511	live
524	a25e82a8-d07b-464e-9e2b-cba6a49e2608	TCGA-60-2724-01Z-00-DX1.98f9e48f-9c09-4969-aa34-05666616ee9a.svs	72a0b4292280076ec8cdc886f9396849	838644743	live
536	fc671308-e555-4abc-9158-9b1527b765bc	TCGA-33-4583-01Z-00-DX4.efa9cdaf-3a6a-4e31-9826-e90f6f3420b7.svs	cccd6684c9482427d321a4789b3694b5	1080252051	live
543	8279ade0-8465-4ef0-bfaf-5416dce1932a	TCGA-39-5029-01Z-00-DX1.74c5cb38-650e-4fe7-bc63-f6e88761346d.svs	f05e416292a5ccb5eea75d4fad1703bf	375267459	live
