	id	filename	md5	size	state
1155	0cc2af56-07b1-4571-9948-654430123d6d	TCGA-LK-A4NW-01Z-00-DX1.0A16E20B-1CFA-43B4-9C95-43BCFA6EC6A4.svs	b27d0692a7df5105fb4c01c491f34d11	2835401429	live
1156	5703278d-2b10-4de5-84ac-f257dad48e06	TCGA-SC-A6LM-01Z-00-DX1.FE4FD258-4B18-4A9C-84DC-A9940CBCF0B9.svs	7e70a256950563ed9981d631d98126ce	328240798	live
1157	e84dc62d-48b9-40bb-8cbd-3db3174b7133	TCGA-TS-A7PB-01Z-00-DX1.1A1BCC79-0CE1-4CFB-B362-FDB766885FEE.svs	b6e71286f6dbe70276af2dddba768930	825898371	live
1414	f44e7146-40fd-4b6f-b937-04d16d075663	TCGA-TS-A8AS-01Z-00-DX1.4278D910-79C3-44AB-A2A0-5B7CE54D64CB.svs	00fa4982a9b74b052de84a6541dba528	423836257	live
1415	9db25854-c155-4d54-9707-f5303a360786	TCGA-UD-AAC7-01Z-00-DX1.A72102D3-0FEC-4F9B-AE49-5D6A5262A35F.svs	3c4732ee28ad51cb12682ce570b32622	1366373084	live
1416	670312c9-eb7a-40e0-b443-9014ea83b0eb	TCGA-3H-AB3S-01Z-00-DX3.BC2DBEEA-1C7C-41AD-97D4-92FBF0483200.svs	bb0c3a3f8879121677182c80e3aca627	1043508396	live
1417	6352c88a-d75f-4f1e-a0b1-72f70b279b2b	TCGA-TS-A8AI-01Z-00-DX1.68C1CAA9-FCF0-42C5-8C6A-A382CD2252BF.svs	1bc9c14b67c25f04e55ee6f8a08f6ca6	604151579	live
1418	5c405ba7-eebf-44fa-bd14-a633b8e44faa	TCGA-UD-AAC1-01Z-00-DX1.787A89D0-C918-43CF-9D1B-80DB1686BA21.svs	804186474a36547fbba92ff8f79b6446	3353361992	live
1419	10c9866f-c50e-450a-b5b4-e9ac0cd01a40	TCGA-3H-AB3S-01Z-00-DX2.473241AA-3BD7-4EA0-827B-EFE5FA2C7E67.svs	d60224643f6b8f9a4bd265878f9cf51c	328211790	live
1420	884c0638-8446-402f-a099-4d5d0f7849ca	TCGA-UD-AABY-01Z-00-DX1.17CE3A58-EF84-424F-8BD0-7E0C2B93B901.svs	75fd5ea4352ea08e4370361128eaa9c6	425600632	live
1421	20237d24-470b-4f10-80b4-a74115f9f4a8	TCGA-UT-A88D-01Z-00-DX2.AE0B6725-767E-4E45-A34D-3BC8F1CBE923.svs	73e8234ca22dc1aa993b39cc79f3494d	314689817	live
1422	6dda3477-c25f-4ecf-8a53-ef3f60dcad33	TCGA-SC-AA5Z-01Z-00-DX1.78B57359-29FE-418E-B5AB-750CF6687579.svs	02f0b242d86357b9b78fe80ce4416e4a	1292215907	live
1423	d7b03dc7-63d5-4dba-a1fd-f7015683af92	TCGA-3H-AB3S-01Z-00-DX1.B3743D6A-2DCC-46D5-9058-619F85B84138.svs	84d7ea0d40916932a0db2a1ca33eaad8	1354814358	live
1424	10aab73e-dbfd-43d0-87b2-f88e1afc0adc	TCGA-3U-A98E-01Z-00-DX1.9A2C6D9A-9753-411E-8E05-22D381312CED.svs	f4fdf5b9b3560ae811eb612d79f2cc12	582247344	live
1425	6bfd8331-6152-42b7-a125-afaf82ade180	TCGA-UT-A88G-01Z-00-DX2.3EA01D0E-2A35-4284-8C43-7E1710C3A297.svs	0b77ead8b511cb2ba55e3acb04b14c30	568123579	live
1426	bd15ad9e-95cf-427c-88c2-fb116954ca82	TCGA-SH-A9CT-01Z-00-DX1.B89F48C7-DB0F-4D4F-8731-A59AC2511F7A.svs	21f3b5ad06904e8f33ec73c07854e9d9	1438813875	live
