	id	filename	md5	size	state
170	b5325b4c-cd49-4652-ab42-34841b9dd6e6	TCGA-23-2077-01Z-00-DX1.9EB664FA-CC13-4A49-89BA-8A4573CE48F1.svs	c00264d1e503ac3d608fcfb8a6c83c84	1531744381	live
199	152a6196-b317-4ae3-b8b4-3abb62bf7c5d	TCGA-23-1114-01Z-00-DX1.26CCA42E-4947-4318-A983-D3B31603482E.svs	cbcd9e0e0a89ce10e0d247661a266173	2334571527	live
300	52f9fc19-b571-49ea-bb1a-3f85312e83b7	TCGA-5X-AA5U-01Z-00-DX1.1A03C105-4086-4AAB-B821-A9E8156FA704.svs	4bb051cfde35590c5c19dbde1aee6300	1056363595	live
526	2d857297-5ac3-48b2-a1c5-109368beb813	TCGA-23-2081-01Z-00-DX1.4105A382-4C2B-4C62-AC93-CB21CC360254.svs	70696ab1a2bde7b5e761db67dcf3272a	1407335385	live
717	a2a5d590-c2f1-4266-bc07-249387ec0ca2	TCGA-OY-A56Q-01Z-00-DX1.F1556F26-8845-4962-9004-70F9747B46B7.svs	b09fd2206efe9d0c28fb81a0d3308397	912585610	live
718	a90fe66e-3054-466a-ac1c-3fb60313b752	TCGA-3P-A9WA-01Z-00-DX1.A5FDC436-7F0D-4DD2-8644-CEF1BFF9C614.svs	7d1f5c86933f7e8d476d1628c16f399c	2047208537	live
950	9754ea54-209b-4848-a450-3e24137b46cb	TCGA-25-2042-01Z-00-DX1.79198B62-0E0B-46C4-8D35-FE20582B8035.svs	1eec6fbca1494e99f94ec89d7530a407	3144896714	live
951	e9354ab7-5ab7-416d-851a-415ffd8ac55b	TCGA-25-2408-01Z-00-DX1.760F6B8D-A61E-4C87-B90D-82E1AF56C204.svs	705997fb0a41bcc8b06ca00f776ee264	2656842596	live
952	8af97848-f142-4e18-acdc-46371ac6dc68	TCGA-25-2401-01Z-00-DX1.AEA99982-DB6B-4178-BEDC-6E1F605B8D7C.svs	a99fa49d0c8770d6fc056ee3971013bc	2229177980	live
953	98d927d2-4eac-4cfe-a372-683cc5556afb	TCGA-25-2392-01Z-00-DX1.C37932E5-973F-444D-8CEB-1BED4279165E.svs	40ac078e14f61be15316693aa14fb5d7	2195886372	live
1223	1cea1dd0-eb1d-49cb-a01d-72c9df9db485	TCGA-23-1024-01Z-00-DX1.B9194D3F-C6F4-4FC8-B0CA-6E347FF4F885.svs	d99776bbd50e349da8a3b22fe5a40c5a	1864302957	live
1224	10a98b4b-ab0a-4056-9146-2e778d0632e2	TCGA-23-1023-01Z-00-DX1.0C96E118-A4D9-4A9A-B95E-C0AA114D2483.svs	a307419ff3a7d285248beade6198d60b	1753648025	live
1641	547322e5-62ed-48da-9bbf-a018b0aeee8b	TCGA-23-2649-01Z-00-DX1.C94C3B32-D5F5-4A85-9F35-50B377FF9E75.svs	7102f5a08312bd099162fa0a94d015a8	1158200527	live
1642	6a5aa9b9-03c5-45b5-af81-cde9e724311f	TCGA-23-2647-01Z-00-DX1.21E5D0D8-6BA8-4D49-BA70-EC228CF10387.svs	790513207efdde2cca1fc08906f272f7	1932863803	live
