	id	filename	md5	size	state
102	12a971e8-64c2-4034-814d-8a96d6686543	TCGA-F2-A8YN-01Z-00-DX1.1890B85A-9DF2-4158-BA7A-D1D6D8C3A579.svs	935e769451cdb9c1cf7ee37f15a742b2	894799980	live
103	d112e823-1241-432f-8616-4a3d948d5f84	TCGA-Q3-AA2A-01Z-00-DX1.AED7B3D3-2279-4BA4-804B-88AC3FB86600.svs	433b237e2f35480dec952b5924b53a91	1377984605	live
104	c6d89dc6-959b-465f-9488-3974ab139a28	TCGA-S4-A8RM-01Z-00-DX1.C8706817-A044-4498-B8B9-FA674F1334A1.svs	999629a16b6cbe1199eb70987291ece9	1644936941	live
533	dcd1ac05-0f55-443a-8fcc-8e3d91ca3a09	TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40.svs	c128956e8be359c2ee9fd1f68a119cac	1913669067	live
534	642c1f24-f784-4c56-b52c-9b39f680e90a	TCGA-FB-A78T-01Z-00-DX1.1DC04A89-2428-489B-A70E-0D9C6D2A5E61.svs	6c258aafa3e1b2a0ef9a22d682aeb81b	477368885	live
535	bea31031-3f0d-45c2-b09a-7ce77f12b503	TCGA-OE-A75W-01Z-00-DX1.894F6D45-E3DA-4542-897F-754FF3D075BD.svs	e8e960dfd7214a70d57816666c38dbfd	915214821	live
540	837b6264-9feb-410a-b5d6-ff1667bc1fa9	TCGA-US-A77E-01Z-00-DX1.F3603E3F-9C97-4BDF-B1B4-FA91D2D64634.svs	f7319d1de9f17a4e4a39c33721766b93	1330402997	live
541	81682438-03b9-4017-b837-2d433612fd5e	TCGA-US-A77J-01Z-00-DX1.72AE50D3-F776-4000-B6B0-C64194AB549F.svs	0a1ac9e2c6b2e0db80fca682c0b0afa3	1453870204	live
542	71811b02-57e9-4fbd-9607-f9cf8e9741ca	TCGA-FB-A5VM-01Z-00-DX1.E3108139-2CF6-4D95-89C0-499EB7E9C467.svs	e1566fd35af6409b891b6be92715a047	1111306689	live
555	19c34fb8-6b22-45c3-8ee8-2f6afb12d7af	TCGA-S4-A8RO-01Z-00-DX1.B1208C32-6090-4734-BE7D-01131C390B2A.svs	48ea50c548af9d95dc69ec484686cccd	1826482617	live
591	01235b2c-c8a2-4d98-addd-b2a131bbc638	TCGA-PZ-A5RE-01Z-00-DX1.B7D46360-1C69-44D4-8256-077FA9779F1E.svs	24ff0fd5afa3adbc270c472f54bdef70	1659214652	live
592	358c40dd-24b9-48a3-ac88-2fadcf91cbb0	TCGA-US-A77G-01Z-00-DX1.65B13E34-528C-4BC3-B3DF-E1DFE19A55C2.svs	f55f097b94f7a8d91506bc7c07a62f85	2004239729	live
593	c26e7da3-5c7f-44de-8cfa-a8444b3f9d02	TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED.svs	c8ff67ead1c8a8b1e8d886a063fe9e20	1945756677	live
628	a5ddfcdb-eaef-436a-802a-41a37e9c36e7	TCGA-IB-AAUP-01Z-00-DX1.88461844-4FC6-4075-BE97-B5A239A3A260.svs	a12fe6edfc29fc3e9f6ba5ed314062e9	2027487811	live
629	aee3baca-d89f-4f26-a929-c478b6518b56	TCGA-US-A779-01Z-00-DX1.67E123A6-0A8D-48F9-9A4B-1213E411B9B1.svs	22cdd41f6729bfdcd7d286aa71b02e9c	2451322836	live
630	cecde24a-a93c-40f6-b084-37409e3faf11	TCGA-IB-A5SP-01Z-00-DX1.0D3C9A7E-F73C-4F03-98CC-26BBF9CDE2DC.svs	3707c14a9755e6a14647aec17d1ba822	1746238097	live
631	2df4b7b4-19ff-4a03-84b5-5e842c3fb39a	TCGA-US-A774-01Z-00-DX1.522FF138-153F-488A-BBBC-5EA68EFD80C7.svs	4ac323595ef4fa3bb3686e83132b444e	1218689361	live
803	30b55a4c-5712-4953-b206-745ba9bd5bb5	TCGA-IB-A5SO-01Z-00-DX1.BB6833B3-C391-4542-B31B-F25484E2F9A7.svs	e77631ca03b1caf512619231a5da3935	1249619433	live
1249	85ce10da-2298-4509-a351-77f900e45658	TCGA-S4-A8RP-01Z-00-DX1.A4A3DC84-98EC-49C5-860F-D3C4E16A0E29.svs	3e0e60c1f74359dce1a28f4ef0817050	2834076569	live
1250	cb971bb8-59c1-45e4-86f6-af2c22200447	TCGA-L1-A7W4-01Z-00-DX6.3FB953FD-6867-4BA0-9FE6-C7DB07003E90.svs	bdfc82728515a6bd3c6d2604f26a151f	885026803	live
1251	4e6d1611-e2a7-4f14-81db-4bf50344db5e	TCGA-LB-A8F3-01Z-00-DX1.8545643D-15B9-4A2F-823F-A1EFAAB82E76.svs	d0dcc65817221bd889d730467762b465	1424695631	live
1291	812860a9-6ac3-4bba-9f61-df9b1a8119e4	TCGA-FB-AAPZ-01Z-00-DX1.CDD2A57A-202B-44C1-8DC8-E8CE091DB510.svs	384e78216db8e0d8007b0204cbe7cb42	160909395	live
1292	2fdba829-b841-4073-8bd4-f4d468defffb	TCGA-2J-AAB9-01Z-00-DX1.F39B4CC5-02D0-4F38-90B5-CDF507EEABE1.svs	8de69d0cb8be01323915049b0b693421	1673228025	live
1293	5f14ec5d-fcfb-46b0-940c-f43fb2c6bd9b	TCGA-2J-AABT-01Z-00-DX1.656FAA7A-48B3-4602-950D-11DCDEF885F6.svs	3ce642bd35ce0aa46885e2992aa634b5	1316657615	live
1480	25f136c3-da6f-4b1c-8dba-ad56d7a15949	TCGA-HZ-8636-01Z-00-DX1.8C576B40-EF6A-475E-AEC8-351FBAC6BB86.svs	891afd431556f14da7c725133cbe857c	716404328	live
1630	e45b2763-1e49-4953-8491-a12c79ec5c77	TCGA-IB-7644-01Z-00-DX1.A2E77093-90D2-4ED3-90EB-F14A03C3DA57.svs	39762923b3b5f3d66a1f3e9d7f6f72ac	2005042827	live
1646	2d2e9550-d278-4a2d-8374-4c14ebcc3fd4	TCGA-LB-A9Q5-01Z-00-DX1.3980D8B1-8477-495E-BAB2-8A31E244D3AF.svs	db75544cf7511f518720125ea888a4b6	1283548341	live
2139	78ddef55-f150-4bc5-bd2a-3371a45c969c	TCGA-IB-7889-01Z-00-DX1.6D4EE9ED-5AE0-4AC2-B75C-2B26F562D346.svs	db77978a5e3d712597817d306e2f65ec	1503253525	live
2141	12233e74-b9a4-4e75-a249-aa39b101c952	TCGA-HZ-7926-01Z-00-DX1.b3bf02d3-bad0-4451-9c39-b0593f19154c.svs	91fe45dbbf753e74ef212cb69b1ee1be	25776223	live
2143	345ac127-dd3f-44de-a455-a6272d351ba6	TCGA-HZ-7924-01Z-00-DX1.d73d1606-bda1-441b-ab00-69645fae6553.svs	25000928a419fc644a37b3ad91fb70a3	61940573	live
2144	295d2950-8742-4e0f-8b60-459b9cfac78a	TCGA-IB-7652-01Z-00-DX1.A425C4BD-DD4A-4688-B10D-ED7155989799.svs	bc924300c7172faacf74dc8c1038dd11	1438287715	live
2145	0c942455-e19b-460b-b032-5480fa2791d1	TCGA-HZ-7922-01Z-00-DX1.14560084-f9cf-454a-a3a3-ef6d7e190bb2.svs	8a4a3976c9756f1d2b06baaea7c5ea8c	435428979	live
2151	6263ebb7-b932-4169-9dc1-b89d223ddf05	TCGA-3A-A9IB-01Z-00-DX1.77855A18-9E12-4F6A-8FBB-B5057656C493.svs	f59afae3f55e46d8e834fcb625927c32	892675654	live
2152	2b491529-fbd3-4889-8f92-687cf872b524	TCGA-HV-AA8X-11Z-00-DX1.F976E711-34F6-4F00-B304-DEBEAB378890.svs	71683880233bcc2ca24f4c3120dd6e77	149107859	live
