	id	filename	md5	size	state
10	dafbff51-94a7-472a-a19a-cc4f94b18f91	TCGA-XK-AAIR-01Z-00-DX1.FDE3AE0A-828C-494F-957D-3FCAD7D8CE4A.svs	6ff4a835a81e823ad074c313424f3706	496638959	live
28	eb4d4c3a-132a-4819-8037-e4cf83975cd1	TCGA-XK-AAJT-01Z-00-DX1.0ADE397E-A876-4D29-87DD-3B203CC00136.svs	5dcdce4a1e8484af21b853f2f0f5ccb6	329305389	live
30	61c67c99-3690-422c-829d-058ac8778f98	TCGA-XK-AAJP-01Z-00-DX1.D61D88E0-5514-46C0-A197-8DC04A47A82D.svs	bef254d8dda52505b67dc936beee078a	531950747	live
31	1d629330-6b0c-4ff2-bb4f-9eceaf5b135e	TCGA-XK-AAK1-01Z-00-DX1.5354527B-905C-4F39-B469-3A64D0BC56A2.svs	1ced9269fbe27f6626d56a08c2cacb41	266851121	live
105	62399b5d-8664-47e7-87d7-af00446c06dd	TCGA-HC-A6HX-01Z-00-DX1.7122F7F6-971E-4608-A0EE-0190D5F74216.svs	5497c0e776b33209e1dfb79e1ed74e2d	40902852	live
106	5fcb6c49-2593-4731-80e3-552fa274b2e8	TCGA-FC-A6HD-01Z-00-DX1.C0F96A58-322B-439E-A304-02B2A730B96C.svs	55ded770b5b53fc0b2e49ba1a4840529	294772147	live
537	cf97083d-bedf-4a34-935f-d9e2dd7830d0	TCGA-G9-6347-01Z-00-DX1.583E2C3F-464D-40D4-83CC-D7B9F3F9B3C0.svs	02cbbba15dfde966ec360ba4db715bd5	2072804917	live
546	e894920a-9096-4375-984c-016fe793b82c	TCGA-QU-A6IN-01Z-00-DX1.B6E9CA11-BDB2-4F7F-B900-DFE8A4531138.svs	b23661c4e849369315833a1b169897d0	1149478599	live
632	e1da7c35-3070-43bc-8894-06cf5ba3fbc3	TCGA-KK-A6E7-01Z-00-DX1.00AF21EA-5532-4BE7-8269-18027B019865.svs	5c4d295e9d21c110a37dba87ac71235c	541095817	live
633	3795c9d2-e1a5-42f2-b0ef-9c67d26b238a	TCGA-QU-A6IL-01Z-00-DX1.675EB89C-5DBA-4C92-9330-2C1715633964.svs	cdefafc62b7092f8e2e1912828ecd033	1743800051	live
804	292ac600-c9dd-4e88-b0b0-734b384d21c0	TCGA-QU-A6IP-01Z-00-DX1.F5BA8BA6-2D9B-4765-A3AC-DB9718FA1F5F.svs	98a907c24d891e740d157488bd0c0467	1331705733	live
1099	1da08dc4-0fe1-43f8-8cee-0d58d0dd4ec8	TCGA-HC-A6AN-01Z-00-DX1.542ADC3A-F070-4D11-AD07-2D2B429A5F1A.svs	42c3f2bca779d9efd3407577cee56847	471374666	live
1100	7477ac8a-f9b3-4f6d-a1cb-3753996e8344	TCGA-J4-A67R-01Z-00-DX1.833DA729-D98E-44F8-A437-1B5BF52071BD.svs	9285a24363597064de7489108f8d07fb	3095163908	live
1101	adda0b06-4a8f-4b44-a89c-764fdeb81250	TCGA-HC-A6AS-01Z-00-DX1.1E5AB965-7B24-4C19-BFEA-91FF7D08DD1D.svs	020df221e3136002404c8ae5249fc194	58975454	live
1102	45ef72be-51f3-43fc-8d89-34c5e0c37c66	TCGA-HC-A6AP-01Z-00-DX1.1E2C19B4-6757-488D-AFB4-71AE5FD6EC11.svs	a2a144ed22752bf93144c3ae86d80517	262775130	live
1103	361c63bd-6b8c-4548-ae76-9bc8074701fb	TCGA-HC-A6AL-01Z-00-DX1.5FFF97EC-B884-4EEE-A0BE-0EDCD389B5C1.svs	14422a322ee10532f8e013abd0ee8f36	146078546	live
1104	a1cce8f7-ff3b-46fa-8b16-3c096b25be01	TCGA-J4-A67O-01Z-00-DX1.C1E6799B-4351-485E-A7DC-236C01D1B241.svs	f46c391c259de8372415abef695a2df0	2445143422	live
1270	f41f6529-a913-4014-9c78-6e7fbc0548db	TCGA-KK-A6DY-01Z-00-DX1.A58E02B6-F093-43EE-B06C-975C4171E8A1.svs	c7b40cd1f48da113c3e91d44a9de2a36	613797519	live
1271	2400d80c-5b0d-439f-9f4d-f3fc6d83ec20	TCGA-J4-A6G1-01Z-00-DX1.CB849D80-60EA-407B-87AB-B3161ABC0A6F.svs	f55c90b7b001945e75727624be02ba7c	1972883140	live
1272	70407aba-6463-45ec-80c2-a6a7b7569b26	TCGA-H9-A6BX-01Z-00-DX1.B73DC319-AE9E-4B6E-8540-8A870B0246D2.svs	37c62101ad61561e3abceae010ebe8d9	615094109	live
1273	50a8df1e-ed1d-4fd4-8ae7-e2e1a75b1ac4	TCGA-G9-6498-01Z-00-DX1.B89E5C96-DEB5-4ABE-9378-99E5869899A7.svs	0da6e140fa4a617ef8b5b56cc3787c39	1213721903	live
1274	5c310852-1f2e-4b8a-9056-88537d646f27	TCGA-J4-A6G3-01Z-00-DX1.BDCBE64A-B59F-4735-B9B4-84BAF9CB1D23.svs	0e2d699ba7de6a72c0db712d6236b47e	2241683934	live
1295	23354ec0-b7d1-420d-8f9a-00ab78193a71	TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.svs	18f4f1fd54f3937f4726c10c7d4acedf	2142417370	live
1296	19465c45-f7cb-460f-83e4-fbc2d7d578a3	TCGA-WW-A8ZI-01Z-00-DX5.7A4D2C8E-F68E-4C22-8808-FBB9A634DB93.svs	872a2f0bf5d8b439436a14d52b2ab6d5	902923783	live
1297	74334944-c574-4eb1-8eff-5a30b10bc119	TCGA-WW-A8ZI-01Z-00-DX2.BE12DAC0-F2DD-486B-AD8F-EA3C68144895.svs	706d8d357f651610e14733febb6f63d0	1866079747	live
1298	d4cc0f18-619b-49f5-bcbb-ca7b26abe4b4	TCGA-YL-A9WJ-01Z-00-DX1.ECE31D79-8A8E-45DB-8BC4-97B303D38B1B.svs	81d51e3dbf9797e9fa792ae5a824133e	2275715680	live
1299	d1984c90-6995-411e-b9c5-48e272c36d8b	TCGA-XJ-A9DQ-01Z-00-DX1.8B133659-B177-4D12-A81E-4EDDACB3D05B.svs	acc45b524cb54191804d917f8f774589	1513239667	live
1300	50797094-96e3-45d0-970b-21598b62b15e	TCGA-V1-A8WS-01Z-00-DX1.78D6CA57-E1DB-4583-8A71-676FE5819C73.svs	e2412922fd825b3d19e47307bbd68b78	1146898931	live
1301	4ec94e28-c1da-471f-9695-0fae12e7499d	TCGA-2A-A8W1-01Z-00-DX1.0CA35481-A243-4722-B3E5-4FB25EC9F6C0.svs	11daf40337dc5cb2ee8900335eda476a	661591057	live
1328	3611544e-24e3-4020-8f34-da36a5f285f8	TCGA-X4-A8KS-01Z-00-DX1.590D57D8-3053-4C42-9216-C93DE8587C12.svs	97d07f256fc55eb079742c9a63b5ec51	1409905861	live
1329	0027e929-5968-4100-bcb5-d1fdaf77b30a	TCGA-YL-A8HJ-01Z-00-DX1.7C6FAED0-CD7C-4EC5-BEB0-5FF40E1089C6.svs	dded5a35b31113b2070084fea6123e6d	2503146302	live
1330	eb0da06f-1875-488b-ae2b-2d229169da2a	TCGA-X4-A8KQ-01Z-00-DX5.6E2CB3CF-F856-4C91-ADF8-739A179A5C8C.svs	7938981df8fb9f0f340dce17d79bae5e	1967293319	live
1331	8be02a43-d52d-486e-91df-5c71d7b68197	TCGA-HC-A8CY-01Z-00-DX1.64E9E7AD-78C0-470E-9882-5E40E97E66CA.svs	e6550979859397612d699af1d72e8512	186948524	live
1332	756f2030-a943-41e4-b5d8-3afe45657b38	TCGA-X4-A8KQ-01Z-00-DX2.16F2F3D2-7673-40E0-9AE7-4C77403819EB.svs	47923242171e539d77937f7068e557ce	2090632677	live
