	id	filename	md5	size	state
171	f66d06e4-7025-4786-a874-ec214e06aacf	TCGA-DX-A8BS-01Z-00-DX4.BB4213EB-134C-4FEF-8916-260066077D52.svs	59d5b73b02a0e49e28af3b866c0091c2	2261407153	live
172	3d0c9195-5c9c-4412-be6d-c2cd874f0850	TCGA-DX-A8BN-01Z-00-DX4.A6D0025F-4282-492A-ACA2-DE1AD9134F0B.svs	a5500eb532e62e6438e0fd4271edab5d	2020970150	live
173	7db9fb71-df2b-4efa-99e2-c89ec66b321f	TCGA-DX-A8BH-01Z-00-DX3.EC073632-1331-4789-9508-149DADEA58AD.svs	160a769ff322062762d90a49aee84876	3245404142	live
174	80bd703a-3136-46cb-852d-84ef124f8be1	TCGA-WK-A8XT-01Z-00-DX4.039EE11A-1347-4325-8649-C4B12237CB94.svs	459de26e0a53668bf9f62ce1e5baaca1	1097268081	live
175	1c0cb5f2-deb3-404e-a0bc-b43f125993cd	TCGA-WK-A8XX-01Z-00-DX4.4026210A-1DAA-4589-84F5-F5E6D401285B.svs	1210fc554d7cc558fd832dc8856dfec6	1414536303	live
201	4a781107-7d54-4835-aad4-7e49b006d104	TCGA-DX-A8BT-01Z-00-DX2.6579E6B2-E2D0-406E-87E8-03C46EC3642B.svs	0d0f5753721b365ca9f4096b08e88abb	2553701335	live
202	bd24a849-cfa1-40bf-9661-8f0865e6a3f0	TCGA-PT-A8TR-01Z-00-DX1.F1E63D48-5990-410A-8482-BB04D27FA37A.svs	d4ca891c3a00224fbcc28edd1f1df6ce	1020646573	live
203	2c10d269-8f51-4e91-9acb-d6aa20c27334	TCGA-Z4-A8JB-01Z-00-DX1.447A7993-3AD0-47FC-8695-72E643E71E96.svs	4c191f8c99ea81b1bf062934f302b9b7	719948561	live
204	418b755f-7d4c-45fa-bd3b-caaa00e087f4	TCGA-DX-A8BU-01Z-00-DX5.31B8BD0E-93C4-4338-9271-B14517D14361.svs	2f3e1bedd5fbce8c90d6e457b7ffb614	859692335	live
206	7db2d2ac-4ba0-4b32-957c-2ea769073ea0	TCGA-DX-A8BT-01Z-00-DX3.003928B1-F85E-48C5-A0A9-198B30088987.svs	4a37d36e425301b694ab4e0508b568c5	1915309279	live
208	78d2b409-7b17-4038-abd3-d85424fd46ac	TCGA-WK-A8XS-01Z-00-DX3.0348F66D-5DE7-48B4-B8ED-C21E3FD39CE7.svs	64291704b80902463cfc1b83ae37eb04	1030934425	live
245	4e40cbb8-8c14-4394-bbed-10738bdac215	TCGA-DX-A7ES-01Z-00-DX1.8218255F-C439-41CB-B25B-F177D19BAF28.svs	205c601c886638d110f80c87c4ff5e35	1640102963	live
246	0670fed9-c1e9-4337-bc45-f0633d4b2e41	TCGA-DX-AB2W-01Z-00-DX4.62D723F8-C94C-4DEC-BB72-8E909076C011.svs	6f3533ccea6aaf75ef4fb72e5b09cfde	1581071359	live
247	effcf525-5ff0-4c69-8cd4-57342b6ab7f9	TCGA-DX-AB2H-01Z-00-DX4.D7CB742A-A0B8-4454-A291-85F8D9A8C21E.svs	6985c74f91497ae269eabad3b636f3ae	2385738037	live
248	9d40d5ab-8fdd-49b6-8a80-0bd4610908a4	TCGA-Z4-AAPG-01Z-00-DX1.543DB232-1C6A-416A-88DF-6D18CABFD3F5.svs	7e7e9baa660e1a4a766d5eb11ebc6b68	917591371	live
249	f0629a50-295a-48e2-8b8d-e13f3e85d994	TCGA-3B-A9I0-01Z-00-DX1.AE4FDD21-8DB7-4E8B-A6A9-7B4E86E011B0.svs	c5bb587d2ed9dc9e8b8029c838a8b4cc	341798844	live
250	d4af12cf-597c-485d-b47d-c15a8b95a50f	TCGA-DX-AB2Q-01Z-00-DX3.A240E006-97F9-4055-847E-01C3962236F6.svs	b20455fd8e649db92cf8e33dd3deb8c3	1900026211	live
