	id	filename	md5	size	state
419	b46b6bde-559e-45d3-b5dc-0d4243763b17	TCGA-EB-A430-01Z-00-DX1.96CA9E52-03F0-4565-959D-B9BB5F95EB9D.svs	6a01122655c30780a79b3ca9b2a9c351	1351727237	live
683	87fb2e2e-d5db-477d-a41e-ccff3f7eb352	TCGA-FR-A44A-01Z-00-DX1.CFAA3A41-8E06-499C-8C1C-CC1B254154D1.svs	30e978cd7b0d6fa85fe4c9bfc33c82a6	1036585618	live
788	82a5281b-6fc0-40ba-8f00-351573887b55	TCGA-ER-A42L-06Z-00-DX1.EFC23C96-F0A5-4ADA-BE77-11B967531BEC.svs	545e6fa9e86987f9016e0fbb210f6bbb	2122923240	live
931	ee498982-25a1-4913-b92e-a260a085c7a3	TCGA-EB-A44P-01Z-00-DX1.717C3DBF-9CC2-425F-8CEA-15CD5BF28225.svs	ebd878537d1f4a1e5b6bd1f61b3b4adb	790425219	live
1238	07b4b63f-352e-45dd-879a-eb1f50701382	TCGA-EE-A3JA-06Z-00-DX1.616ADF60-1EBE-4082-97D8-25AFEF393429.svs	b2a013e30494988a5b851e9e3c1e509f	332873052	live
1239	73f61927-6d5f-4bd7-9be4-94dfc54a2ccc	TCGA-EE-A3J8-01Z-00-DX1.4FAFDA16-1B9B-4D5C-9763-8390729E0F05.svs	eb3330cdf4d6ebaee3c320e6ba11c96d	104990397	live
1240	6c6d6c17-ebac-419b-a94b-afe49841bc57	TCGA-ER-A3ES-01Z-00-DX1.591E818F-FF61-438F-8E41-8F928DA92011.svs	241eebdee0068a626d3be73d24e741c0	462143703	live
1241	c1e55d7c-5c2a-4801-8bb5-e35462c27e7e	TCGA-DA-A3F5-01Z-00-DX1.DE4D3676-4F83-4076-AA6C-24D4C62DD9A0.svs	7ce5910f3190d7424e3f2a6c8875c804	600685519	live
1242	41f0e1d4-408a-4052-ba10-3a5d9740b651	TCGA-BF-A3DN-01Z-00-DX1.4A5A739C-FB1D-44A5-9CE2-FC4966D843B6.svs	b3911e1ec0d20c88bb0bc31ccaf32859	194742183	live
1243	89fe19a7-24ce-4cf7-a818-5b2204b05568	TCGA-EB-A5KH-06Z-00-DX1.BBB3714B-4514-437F-BD3F-72783EC861C3.svs	95c3120cad276c6a9a0ee25764e768ad	1692962290	live
1244	d7f7b093-7c99-4031-aa27-a85cd3110976	TCGA-BF-A5EQ-01Z-00-DX1.8B6B7B53-66A9-43B1-A223-21D7778F6EE7.svs	3d47b40ea7b7c911366c026ef93d018d	1043354819	live
1245	d38f3365-aa94-447d-b790-2baa144012a9	TCGA-EB-A4XL-01Z-00-DX1.5E5511C0-7E5B-4412-8FB0-F0085A1B01EE.svs	951c52e1d81f62e06de5464e69c913c4	788719157	live
1246	96e2a480-9b2c-4966-aeca-789ae06b266e	TCGA-D3-A5GR-06Z-00-DX1.5621C88A-0C9E-47D9-8458-A473B7BD28B7.svs	1ab744ec6044472d254622e071db5be6	1035502448	live
1247	f7f46394-2c6e-4a01-9ca9-7b6af2c21297	TCGA-D3-A5GU-06Z-00-DX1.17B59BCE-262E-4575-ABDE-7F01BDAEAF1E.svs	c5eb3dbacb44a74a0c850a58aa717bab	662689906	live
1248	9bba48e5-5195-420b-9426-e44cbc5c37bb	TCGA-EB-A550-01Z-00-DX1.10817DE0-BB6B-4539-9945-7B1B5B314C83.svs	e1cdb25762d6f821e69704e602d2249f	1481769083	live
1543	67aceb7a-ae03-4f63-b818-8fb537dd6146	TCGA-EB-A85J-01Z-00-DX1.F297CAB5-A709-4782-8D83-C23E0949B03A.svs	ce7ea87b33e0ea66523ec4a96b89d01e	334928715	live
1544	01ac8fcc-d0ae-4db3-aa1c-4fa13d3cb178	TCGA-EB-A85I-01Z-00-DX1.8049AEB4-083E-4907-BCD9-23A7B83B54A7.svs	da4a043b2ab8c7c47ad490da866bde08	830827379	live
1545	998aa368-69be-465b-ad2b-a5b695e99646	TCGA-FR-A729-01Z-00-DX1.90FA96F1-549C-4E9A-B9EC-F7EBA35FCC0D.svs	136338767147c41857cb1abdf16b70a8	2503472966	live
2048	3e7f9ca1-d7ba-46bf-9411-373f984065e6	TCGA-BF-AAP7-01Z-00-DX1.E3AD2956-2918-459A-B6B0-E4662587AF3B.svs	01b709f5d10f39d7ba6d252b7e5f8fc1	143700707	live
2049	8c4566cb-eefe-4229-9a79-1fde5bba894e	TCGA-XV-AB01-06Z-00-DX1.20585168-4E6E-403C-A7EB-DC3F7CDC0AD4.svs	89dbe3956308e9c24e4b88373309e406	601640732	live
2050	f80db281-63f1-43d4-a485-07b14bd2ede5	TCGA-XV-AAZY-01Z-00-DX1.77D5F2CA-1A90-4F8B-86A2-29A9597B7373.svs	69b11819ea0daf5b3a78fec18844b59e	814338597	live
2406	58e7f3ba-ab47-49a6-8672-00e71c34c5c3	TCGA-D3-A2JD-06Z-00-DX1.B6DBA83D-6C77-4F73-87B8-30487C8AB7C1.svs	dfb2b6f5b848b52160b8d91270a7c440	1093675082	live
2408	c2f3a559-1300-4180-a210-9e2ea79888dd	TCGA-EE-A2MK-01Z-00-DX1.3A8F8407-BA89-46E6-9591-90A1CABD6E21.svs	09c3770342caa1e8cc0b17ee2c5fe9af	1583891717	live
2409	3d2f7045-5047-4fd2-bd47-9ac6a3ab77ba	TCGA-D3-A3C1-06Z-00-DX1.F6C5DABC-9FEB-4A55-A764-6958046CFE39.svs	1349f2c463216839b7483944ecaa2f17	783197226	live
2411	21777b46-76ff-4635-b72a-1578f7fdd7bd	TCGA-D3-A2JC-06Z-00-DX1.C5D339EB-672E-41B5-BB6F-008D22E84E1B.svs	1a0148835e7c9df536b3109c70abecd9	787345352	live
2413	250f18b1-f4b1-426c-a167-9c252ed194ab	TCGA-FS-A1ZD-06Z-00-DX3.04C0700C-C2DD-4EA9-B69A-EC42AB487847.svs	fdef4f6c9aa6d3de0beda3e1e26b8f5e	3270948517	live
2415	c6491fba-4bb8-4893-bc4b-f195a31c5618	TCGA-D3-A2JK-06Z-00-DX1.B53201B1-E21D-4275-9D5D-31890053171D.svs	73913c1c14ccf4a8bb8b3e4f441d1847	898999562	live
2416	6dc58cbf-e7f8-4d11-a67b-ff833e25b893	TCGA-DA-A1HW-01Z-00-DX1.5AB192DF-B8F9-47D2-96CC-3831E73BD640.svs	d0c2a5702142464fe7f4d3b8294768ff	220421197	live
2417	b8b39960-a0d5-4753-a44b-617736f61efa	TCGA-EB-A1NK-01Z-00-DX1.655D7734-ADAD-4F3E-A82B-0C24EB6C9E79.svs	23f9b331238168f9e8a5c13f18709d2f	345731151	live
2418	672aa21a-762f-4dda-81da-a257934d4a9b	TCGA-GN-A262-01Z-00-DX1.64FB584F-24C0-4311-A75F-365CD48D0CD6.svs	840b7575867a5c6ac953d9fc0f0d2bdd	1458397197	live
2419	df6ba1e2-1255-4e11-8d81-d13b11a6116c	TCGA-D3-A1QB-06Z-00-DX1.45F27045-0EF1-4C33-9558-C1832E6BFBED.svs	2261e28b3120eeff675a2693fc491509	934352422	live
2420	2e7de47b-0633-4ea6-9ed1-349c843543a2	TCGA-ER-A1A1-06Z-00-DX1.CD88FBDD-AD5B-4063-8223-DDBA8A1F721B.svs	bd4545ecfc57a4e23d8a9e537c4984b8	1389190508	live
2421	68744a9b-4b0f-4a62-9dc3-aa167baffa56	TCGA-EE-A29E-01Z-00-DX1.1A723FE9-A029-4FE5-8BD4-F12FB32FC482.svs	bfc6eb5ee287a5a0f78cebbf5d47077f	925606173	live
2422	1a21a95f-59f1-42ec-b3d5-22742c8590d0	TCGA-EE-A183-01Z-00-DX1.7A69310E-0011-48BD-A0CF-FA9385D1D00A.svs	18990d9c523f4dadc21666bfb7090898	1392630213	live
2423	c77532fd-d9f5-4030-b754-354c3838c9ff	TCGA-EE-A29V-01Z-00-DX1.A41E14E1-260B-41C3-93FE-A8C6AA6D03ED.svs	d308dead9ff2c6060b1cb0b414bdaa73	1768991343	live
2425	23fa6c5b-216b-4759-bf8d-da58a86192c9	TCGA-FS-A1Z7-06Z-00-DX2.1DEA2824-A11B-4AD0-9F77-0D7149A0FFD7.svs	4c3e357fc5ac936d2f835bf130913faf	1861344691	live
2426	beac2633-933b-44c4-a15d-6ffd13abaf16	TCGA-EE-A3AG-01Z-00-DX1.75BA8FFE-82A0-4FE0-B538-2451561DA164.svs	184d89f160c1a528ae809934f1d4cad4	1321776917	live
