	id	filename	md5	size	state
3	b7478d6f-84a3-4f15-b48d-8f468bacb323	TCGA-R5-A804-01Z-00-DX1.D1DDC2EE-C3ED-4502-B1C1-71D5585E9470.svs	514fb201cfd2e7728c875253a4539d4e	239091569	live
16	fb133cae-8c05-45ae-80b9-0ae1d1034e19	TCGA-R5-A7ZR-01Z-00-DX1.3E6B0708-D1AF-422F-B7F8-BBCCCEEE89B7.svs	466440be804ad0ee4e378890fa76c32a	461964439	live
27	0bfe88e6-9464-417a-aeea-4a7c189d5363	TCGA-R5-A7ZE-01Z-00-DX1.0E7DCE3F-E2A1-4F98-BEBF-E08DF2BF2FF3.svs	cc6b195a41ff1b4db6f2b06d9f406b22	266075261	live
115	004bf741-459e-4423-af52-831b3ec717be	TCGA-IP-7968-01Z-00-DX1.0ECCB946-BE56-4E79-A3B1-571EA929D95A.svs	bd8d31ae47aef8b3bf577824d415465d	248237037	live
116	f097c3c7-a246-4ec3-8d17-be8f89e7980d	TCGA-IN-7808-01Z-00-DX1.0aacd7e2-1454-4aa4-866b-b142fa04e619.svs	69c7c92f209c5ac48149dbf2a9c4e8e6	865986909	live
117	dd969cd9-1a04-4b6a-84f4-e3f41b0d0448	TCGA-BR-7197-01Z-00-DX1.a8ee53be-925d-4922-b670-74b09f405dd3.svs	ec48ca835570c0249f4f212a75332908	355594907	live
118	8afc7462-0885-4db4-a4a6-f8f44849b8a4	TCGA-BR-7851-01Z-00-DX1.1f3a3b7d-0c1e-42af-9d5b-2a90b759eca9.svs	353d76a85d33f16a0eac7fa1c2b14e7a	471198429	live
539	4ad20c36-68e8-415d-a6b2-2428a5b4ccec	TCGA-FP-7916-01Z-00-DX1.6264d8c6-0ddb-4905-ad0c-146e380ddee1.svs	513daefe38269b9062e9c3ddcbc38ac2	133302121	live
634	ea5f7d2c-67b6-44a9-9815-ff28544460bf	TCGA-BR-7957-01Z-00-DX1.870e24e0-b9cf-4baa-91f1-bd031d06da8e.svs	273db489e399f65686ffcb41ce4d7c8e	565155463	live
946	46e97604-8d1d-43a7-bc72-16b95cedf86b	TCGA-CD-5802-01Z-00-DX1.d188b861-af3f-4493-9f12-d3712055644b.svs	2a451d8025c77c380284adda1063af23	723717499	live
947	07bcce29-da74-45c9-a54f-4271347669ae	TCGA-CG-5728-01Z-00-DX1.F370843C-2958-463F-90F9-DB3F08B8554B.svs	44627b3b476fc46997c287322ae5cb41	6257192	live
948	73c601f9-dd87-47e5-91d7-d0c0cb81df4d	TCGA-D7-5577-01Z-00-DX1.e9ca39a5-7c5c-4e43-ac89-8652f44b08bb.svs	32fc401c14adbc6398e88a70489739f7	1349143295	live
949	c002a4d7-5b02-4075-a70b-63289847fad6	TCGA-B7-5816-01Z-00-DX1.95ae03a4-5f96-438d-82b0-3692bc88ff16.svs	b2f04400b243b50acd061233acfd0a8f	364256463	live
1007	bf0397d2-210b-4d9c-b0f2-df858fd1f8f8	TCGA-RD-A7BT-01Z-00-DX1.1B0308B0-27EA-43A7-BE89-C5F7831AF243.svs	1c2723c3e43ec18b222c29e4f63ea152	1645496100	live
1069	5823cb80-8824-47a0-b8e6-f272fdf9eb72	TCGA-BR-8486-01Z-00-DX1.5a31224e-5c0e-49ca-ae65-d2edc8e4a0a2.svs	6e94d37f2c9355d094824142b5278115	686868363	live
1070	39beeab6-3cd3-49aa-853a-14bc448e1878	TCGA-BR-8680-01Z-00-DX1.a314ef6e-f3f9-4148-934e-dc432e3f39e8.svs	d3eb0c1a83ece9741a383f51024a2aea	719392477	live
1071	f1caaacf-5739-4123-8c80-81e24eaab807	TCGA-BR-8690-01Z-00-DX1.e94544ed-62a3-41f3-95d5-f0ba9dfaa77f.svs	f9b54518b07b011685b02da3ccf680aa	884557315	live
1072	36282e91-3455-41cc-85cb-b6a2195a73f8	TCGA-BR-8683-01Z-00-DX1.586c64f3-3f10-4729-99e2-38c6bd32e50d.svs	043b1cdf8f9d248a68615e9371ce3e19	584298589	live
1073	2e172eb3-f980-49ab-a751-7ace82e6a6b2	TCGA-BR-8487-01Z-00-DX1.81ed3672-7b6c-4db4-9cba-3f0173709320.svs	bb301351c41b1af3f24d7305ebfe5fc1	614101017	live
1074	78e6285d-2508-40bc-912f-bb46aa54bb03	TCGA-IN-8663-01Z-00-DX1.39719DC6-1441-4E0F-BB5E-656CCDAC13D5.svs	bc5ae833598ac1501c0d3c910c4de56b	2153576670	live
1075	f7c475ae-da1d-4a94-98bd-f1e336ac32e5	TCGA-BR-8676-01Z-00-DX1.297da9bc-fbfd-4277-84e1-297f177211db.svs	4863a2738aa3f28220db165dee45255f	712495069	live
1076	f6b6a24d-2e84-4608-9bc2-3589191208b2	TCGA-BR-8679-01Z-00-DX1.2aa8a10d-4b62-479b-bea8-6c48428a888a.svs	a15f72dc80e6e8f56f1aed258a3ff896	238802645	live
1077	010945bd-17cd-4603-847a-47f8960a0f0d	TCGA-BR-8682-01Z-00-DX1.269b5b35-7ccb-4343-b2a4-2add6fa129a5.svs	aa552f10b83a8101103b367d48ecf67c	618775293	live
1078	b84b160c-d2ee-43f7-beb6-ca1b2be8aa38	TCGA-BR-8590-01Z-00-DX1.504afa1d-3a8f-423f-9edf-4df35720c05f.svs	f62a9966f48ab4843690305e03e5471f	517228003	live
1079	07a8ce8e-5ed6-4bd6-9d6c-b542e753deb7	TCGA-BR-8384-01Z-00-DX1.4f2655b6-39ef-4532-b8ed-b604ee5dada5.svs	269ac0ad5d34a4d74524a338ce7b584e	603788641	live
1221	2171cad2-1b0a-49d4-a3cf-ee0c90c4e3e4	TCGA-VQ-A8DV-01Z-00-DX1.DB668CCB-E5C9-49D8-9F0B-2548AA1C3E69.svs	15586ae413b66f91efa25a087aefa118	1397158055	live
1222	5b3da771-d7fc-4a75-9fe2-50b910fd5882	TCGA-VQ-A8DZ-01Z-00-DX1.3C4CB10D-8C8B-4828-B7D4-7058BDF4D39F.svs	a69a760528b3cd44dcc291f36c04b710	1198436823	live
1319	5896a564-7314-4e05-b2cb-5d2670c86afe	TCGA-D7-A6F0-01Z-00-DX1.C75CE666-2AA5-433C-BDA4-795B9A6FE8C3.svs	f2eaccb2ade5df953f5e2de9abc076e2	1273151583	live
1320	581e35e7-bd09-45cc-a621-1935e2782820	TCGA-MX-A5UG-01Z-00-DX1.DEA1C553-B7E9-4663-A02B-51C31411C7C3.svs	b110a2d7ed7cffd620124609ff1cd8f6	112391653	live
1321	62c3bd2b-91dd-4981-b20d-0429b9130955	TCGA-MX-A5UJ-01Z-00-DX1.936F7641-740B-4246-BB2D-C8443501CF50.svs	f3c4647422c3602f9d82c6546b4ee3a3	583718809	live
1322	387dcf08-fbe1-44f9-b8a8-0cf6b94e75c2	TCGA-D7-A6EZ-01Z-00-DX1.BF91B810-86FD-4675-85A0-15DC9CF2195F.svs	8bc5290199ec0a35e0c09996c27c026b	1422155925	live
1369	560f2bce-5639-46e5-825e-32828d51baa7	TCGA-CD-5804-01Z-00-DX1.c5c22749-71dc-4812-84ba-2ef6f5a1463d.svs	cdbd57bd9123addb57fff66d1c416aec	760672161	live
1370	0489032c-62ea-49a5-8bfb-29cc46bfb530	TCGA-FP-7735-01Z-00-DX1.97aac46a-898e-4c43-8c93-1496f40c43ed.svs	c3387ad305877c2af9f77cf2fe025b9d	120004149	live
