	id	filename	md5	size	state
146	26b74f8e-8f01-42b3-9164-0e2138f3042d	TCGA-2G-AAGO-01Z-00-DX2.3B88B9D3-A30F-4004-943D-F6E82A473BCF.svs	20d40f11e948d81607d02676e7936b72	1690651118	live
147	2a90ca9b-2868-4597-9206-a42115da9c3d	TCGA-2G-AAGG-01Z-00-DX3.6DA5C4C1-24EC-4FD3-99FB-0ECD0E6BF754.svs	81c68737d54589eb2858ed137e6ade61	1371491652	live
190	fb8ca4c2-240e-4ddd-ad76-7c7ab11ba722	TCGA-2G-AAG9-01Z-00-DX1.31B27C7D-5FF6-47DD-9C18-A9B06D67D59B.svs	94b4c8795e4c09f9088110e44a077aa6	2082284814	live
194	a91e4369-bfb2-4a0e-9625-70151a929e0c	TCGA-2G-AAGK-01Z-00-DX1.D0530A91-8CA1-47AA-95AF-AB7B901DC5B6.svs	735e62532c52331f9fcd9cae4fb4c9d2	1275165140	live
195	fb012376-970d-4b32-90ca-3eff020ec27d	TCGA-2G-AAHP-05Z-00-DX2.372858CD-846F-497B-AD9B-E38851B453CC.svs	6d24294923b1fcf0a00d00598be94b52	2104672444	live
196	2c51e20b-6511-4b46-96fc-367d3009378f	TCGA-SB-A76C-01Z-00-DXE.46672DBF-D443-4897-9B49-9B10E2401F26.svs	1d361c4e2563b6e1532140689772379f	1278816207	live
197	80a7592e-2d97-40a9-8bd5-50966101dcc6	TCGA-2G-AAHL-01Z-00-DX1.CEAD76F8-BF09-4943-B231-349E1BFB6E0F.svs	72a883a1d112671ac66cb54edeb974f0	1826473448	live
198	ac1aeab0-5118-4dce-ac9d-829bf9f3193e	TCGA-SN-A6IS-01Z-00-DX2.790CFDDA-01EB-4A9F-84DF-513032548B8F.svs	0cc27a3f4fb90a4dc3c1abf6230464af	2218753071	live
200	60f1e733-245a-4703-bd75-c04a62a94cf1	TCGA-SB-A76C-01Z-00-DX5.432C8D5F-95A5-4C9F-A797-BF041B45B0E7.svs	6eb356c64175cbb4a2ba4ed14b2bc3a8	1363063729	live
209	d6b16170-6ec5-482f-8a51-d53a56514095	TCGA-WZ-A7V5-01Z-00-DX1.4465F37F-8A17-45C1-AF2F-E14876CD3E21.svs	bcb529ff45720f3c453954a59e18f233	251263130	live
210	5a0d854c-68bd-49f7-8137-95b72c9fe626	TCGA-2G-AALN-01Z-00-DX2.9E9EA940-6F86-42AB-83DD-D66C1689D6C4.svs	6f621da9c065e95d541b36e30e7f8581	1295953002	live
211	9e84738d-9e6d-4ce8-a69a-b0a353e96541	TCGA-2G-AAKG-05Z-00-DX1.642C8A71-3BC6-4732-9F37-65466152C1DA.svs	3dcf57f571ae7b8bfa8bd1a605bd0813	1729988964	live
292	17667481-f83a-4e72-8a64-b2825b4bc049	TCGA-XE-AAOF-01Z-00-DX1.6AD88B69-EB1F-4577-AFA6-CA407BFBB697.svs	939a127a5a2ae76b68182a9f0edf28ac	1490156971	live
293	0d7c0319-f962-4f91-b2ff-e385b62a0d8f	TCGA-2G-AAGZ-01Z-00-DX2.E293B0E0-713F-4CF5-B761-B2CAD8E1BA1D.svs	a69b8c43bb6123f9098a5b59570cf60b	2306465192	live
294	2aa66d1e-6f36-484f-9aae-3bd9d6c59ff2	TCGA-2G-AAKL-01Z-00-DX1.8F6ABEA4-7BB1-483B-9B86-210D6132130E.svs	a503e006dcbee339b1b1b2c02f9c8bf5	1247146456	live
295	29d50881-a34b-49d8-90a4-ab9238fd462d	TCGA-2G-AALW-01Z-00-DX1.11C40871-2AB0-4E7D-92EE-44A610496FCC.svs	60597d8ba2ce8652e7d1b29bcdeceefe	1471827616	live
297	182c50e9-0de6-4073-a5f3-cb6629199a8e	TCGA-SB-A76C-01Z-00-DXB.06994C72-E6E0-448C-92FA-F70FAF2C39F3.svs	7cfa6d479873a6b5cbe4f30d0b388f6e	1347355795	live
299	bb934258-c99d-4410-80e3-d5e3043eb422	TCGA-2G-AAEW-01Z-00-DX1.82DE89BF-C648-409C-A661-32AD5C0E4775.svs	4bbfa13cf352857676c9852e5463049f	1625787812	live
301	9ffec4de-3b7a-4325-aaca-55bcb63d41c4	TCGA-YU-A94I-01Z-00-DX1.CF7FD72C-A39C-48BD-9E93-3EBAAA3457BA.svs	c0f16056f749da74df9d251faaf08c60	1823793631	live
302	6185f63c-929e-4ebe-8f3f-ecc6a54b0dbe	TCGA-2G-AAHN-01Z-00-DX2.198800D7-95B1-468E-94EB-8AD30F8871A1.svs	9069005f55a2086bad3eef493fa1cda3	1233714124	live
307	a8aa789b-d781-4e6e-bb81-0bf0a7735707	TCGA-2G-AAG7-01Z-00-DX1.7283AFBF-30C4-4A15-95FF-D5A4A672806B.svs	278493a0068166ae6191e9aadbbcad16	1814996974	live
309	b7b4055d-4dba-4626-9eb3-9a30602e7de4	TCGA-ZM-AA0N-01Z-00-DX1.22F4C6EB-C784-4493-9DC5-18D5A1DC6CD5.svs	e160523038e15839f7dd5928475eb7ce	969324167	live
310	ad84559a-b232-47c6-84aa-e56d4ed7ffa5	TCGA-2G-AAFO-01Z-00-DX1.A5B669EC-8338-4A0E-BD19-021DFE6C9BC9.svs	8cc795096e1439f8733bdca584e4be79	1896921462	live
311	ff783e65-f15d-4e84-8329-9e7462e8c407	TCGA-2G-AAH3-01Z-00-DX1.0016AC88-32F5-42C0-BC9E-90F409B130BF.svs	f16f14463b768b6f8f53dca36461be0e	2521831992	live
312	d2e963ba-361e-46ae-89e9-0c27bb6de4d9	TCGA-XE-AAOL-01Z-00-DX1.41F340C6-7961-4F7E-AEE5-D33E818344E4.svs	b201cf9954f6fd9c2b869657f22c9f3e	3305881519	live
313	cb29761b-43fc-4454-9207-bdcf593d4bb4	TCGA-2G-AAGN-01Z-00-DX1.697CA94A-67C2-4F0D-BEC9-9346D6ABA271.svs	a6a14402c7261b514df12c2ddbb8d9bc	2283364666	live
314	36ad9de0-62a4-4377-93b5-ff727d8fc147	TCGA-2G-AAGN-01Z-00-DX2.6E0E3268-1570-4186-98D5-EB922DAEC626.svs	9ac4c5d7786b3cd6936e88f427b42eaf	2267015972	live
315	98227c09-8793-47bd-9fde-942638078bad	TCGA-2G-AALF-01Z-00-DX2.F9564ACF-D508-4B80-83D4-1963FCA48420.svs	9e7972474d5eed8e37e74681de1d4192	2333972304	live
316	79b2310e-26b4-4bd7-b6cc-3e0ef5bc684b	TCGA-2G-AAGY-05Z-00-DX1.42223E1D-D6DF-4BCD-9CF9-BAA71324A4F5.svs	28a61db47fe5628a895d81ce25ff91ab	2069885592	live
