	id	filename	md5	size	state
939	1f974cfc-f2ed-45c2-a240-74539ea3826f	TCGA-FY-A3ON-01Z-00-DX1.972E576B-DA72-4DA1-BCE2-0873118C1ACD.svs	47032c2b610c8ace68b59123e0dbcedd	211420708	live
940	ad4c3e37-05ca-4cbe-ae25-63defe2a8ec6	TCGA-EM-A3O8-01Z-00-DX1.B164A20B-7433-420A-B947-C78CEB49B7D2.svs	3c2538fbcede00f9cb57f18bdeb0b669	67318102	live
941	bfd18c7f-5464-4d52-914a-d461ad396d40	TCGA-EM-A3O7-01Z-00-DX1.D330057C-AC41-4701-88DC-6D5835B7F8EB.svs	70791d4d31e5a914cf2c502edfeeb885	156653176	live
942	3960b589-aa79-435d-b2fd-c1152747307d	TCGA-EM-A3O3-01Z-00-DX1.F1D69AEB-CBBD-49EE-A2F4-411A11E3B3AC.svs	c1d5fe18fe771a1b58316de30af2cbc4	132650716	live
943	364cb6f7-3cec-46ff-af34-a1c4fb2add1e	TCGA-EM-A3O9-01Z-00-DX1.D875DF72-EBDE-43FD-9FAE-3F696D4C0F03.svs	955a846eee18598fd706cfe6d0d06b01	184779186	live
944	910e5168-4f6a-48e1-b726-d4c9971a4e58	TCGA-FY-A3R6-01Z-00-DX1.B51917D1-3A4C-4374-A22C-03A339C7582C.svs	6bf318d1d0535db6e1c72c5dffc107ae	1450544321	live
945	fc4b28a2-fbce-4057-95f5-9f4bc880ef91	TCGA-FY-A3R7-01Z-00-DX1.C1049915-5AB3-44B9-858E-14DFB23F6BD1.svs	502fbe3947a7df2ffc626d8e96174a69	551140864	live
1093	217d3777-70f6-4df0-a94d-dd2c1d14115f	TCGA-BJ-A190-01Z-00-DX1.9095091E-77EE-42FB-B3EB-D12BD29335FA.svs	1888c10d2f85992a8e394235ddd82114	1413498145	live
1094	7370cb0b-ca5c-4318-ab60-8f9a110b5616	TCGA-BJ-A0Z3-01Z-00-DX1.1972EB38-8320-495E-B544-049BDAE4F910.svs	265b80642a4ce9a3fd3f741f51d2a644	733908963	live
1095	92f2e935-19a1-4099-bf76-5785e25231f9	TCGA-DO-A1JZ-01Z-00-DX2.0AFF242D-24B6-4A84-BA67-9C6BF870DA3A.svs	e6bc7dbab3b068f362c41edc11bb8f33	856176021	live
1096	ea94ed48-15cc-4517-956b-f9ad28d2b0f4	TCGA-BJ-A191-01Z-00-DX1.E65056B8-C7D0-46A6-98B8-067E25548912.svs	b121c2b88b930c478560d603d182ae50	1505395531	live
1097	64514488-d562-4a02-8331-a3f295ab38ef	TCGA-EM-A1CS-01Z-00-DX1.37618D38-55A6-4D9C-AE95-4B42239ECC5E.svs	ad9d035d0f4d4ca7bcd1e6375e2b53e4	1414093601	live
1302	f89fed51-d8c9-445f-88fb-34fcd228bc19	TCGA-EL-A3H8-01Z-00-DX1.CD331473-DF2A-4C61-9647-6097DA3E0C89.svs	2183a3b36a7963d8e032507fc35146cb	827241309	live
