File.ID	File.Name	Data.Category	Data.Type	Project.ID	Case.ID	Sample.ID	Sample.Type
1	b8de501e-1d14-42ec-afc3-227e78a4f0ad	bf7d8fed-3bac-4a79-8c27-12785590bea5.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-DJ-A2Q0	TCGA-DJ-A2Q0-01A	Primary Tumor
2	d5c6c91e-b5c1-4b10-9d96-bde6a0928316	7365a5d1-be08-411c-b24a-59769ff029a5.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-IM-A41Z	TCGA-IM-A41Z-01A	Primary Tumor
3	f2218e01-f767-4510-a27d-0f3e5c3db06d	20331bec-d188-428e-9a99-b74bfdd4542e.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-ET-A3DV	TCGA-ET-A3DV-01A	Primary Tumor
4	41e72bef-6f72-4689-ac69-605f20b82b5d	088af440-646f-4cdd-8767-7b16ba7b4a45.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-HT-7691	TCGA-HT-7691-01A	Primary Tumor
5	62665c4f-5965-4912-aefe-60dffa8ab41d	765d5d82-7fc1-4ed5-afb4-6b7f5e3aa777.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-E1-A7YM	TCGA-E1-A7YM-01A	Primary Tumor
6	56c7c8c7-9936-4c2a-9ac0-a404c5f68b87	f7182de7-067e-467b-af88-790ad3e63eec.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-P5-A77X	TCGA-P5-A77X-01A	Primary Tumor
7	aa66c18c-cc00-4039-8604-9bd444f55cf1	37864a32-7a16-405c-983b-200380f15883.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-P5-A5F1	TCGA-P5-A5F1-01A	Primary Tumor
8	2e666313-09c2-4484-84a7-9da66906de61	a308164e-b7e8-404f-bac2-72f586f25e78.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-HT-7690	TCGA-HT-7690-01A	Primary Tumor
9	9ff276ab-0075-4cd1-b1f4-4e23731e0b1f	bc314ad1-bae2-41b9-87e6-86cdcb36e69e.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-DJ-A1QL	TCGA-DJ-A1QL-01A	Primary Tumor
10	72fa5f40-1ade-4088-8390-b8bc970d12f1	944ee313-bcf5-480c-9ce8-05821746fb34.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-ET-A25N	TCGA-ET-A25N-01A	Primary Tumor
11	e485f194-ef95-4fde-ba5f-d744d1997662	b3db06c4-ff1e-4600-90d5-e5d14fbe7a5a.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EM-A3AJ	TCGA-EM-A3AJ-01A	Primary Tumor
12	16ebbf4f-c9ed-4464-9d27-baf695069c36	e584b6af-54f6-447a-8835-f32568cf1999.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-DH-5143	TCGA-DH-5143-01A	Primary Tumor
13	ba97b22a-e13e-40e4-8625-71459b4e972b	000f9b51-4747-4d7f-9ecc-25bef9b25ad7.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-HW-7495	TCGA-HW-7495-01A	Primary Tumor
14	10298e1d-b02c-43f1-a9af-8a280f7d630a	6c5413ca-9b83-44f8-9f08-2e70035bcc9a.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-MK-A84Z	TCGA-MK-A84Z-01A	Primary Tumor
15	0d9781db-e010-4a91-8510-cc256ba535b5	26aae595-6301-473c-ab64-ff0331d7fe2a.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3D6	TCGA-EL-A3D6-01A	Primary Tumor
16	b13771e5-c80e-4e5e-b4e3-aba7a7a83ccd	4eff217b-41f6-4bfb-a4ac-aa8b994a71e1.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-KS-A4I9	TCGA-KS-A4I9-01A	Primary Tumor
17	8c3b21de-0814-4172-acdf-d063abacbe7d	eb7f536d-71a0-4702-9ccf-5ed5b8e2f9ab.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-E1-5311	TCGA-E1-5311-01A	Primary Tumor
18	c709a51a-1c4d-4e37-909b-7437deae4ce4	31ef0136-6bc5-4145-b2c7-e238dd64d408.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-E1-A7YQ	TCGA-E1-A7YQ-01A	Primary Tumor
19	ac8bbc33-3d19-4620-9534-2b4d38743f5e	a156c548-8258-4327-9b21-5015c682215b.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-KS-A41J	TCGA-KS-A41J-11A	Solid Tissue Normal
20	29a59350-fa6c-4a92-811b-20367742b6d4	d0193da0-b586-4719-85da-7a5213418026.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-FE-A239	TCGA-FE-A239-01A	Primary Tumor
21	0b0d4b97-9b60-4370-bcbb-9dc70fbaaea5	8b0dfb59-df19-4c93-b040-eb75bad863fc.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-TQ-A7RK	TCGA-TQ-A7RK-02A	Recurrent Tumor
22	baa5e054-05a1-424e-bb7b-2f2825091027	78541992-59e2-451b-90e0-862353e74f93.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-TM-A84L	TCGA-TM-A84L-01A	Primary Tumor
